0,1,2,3,4,5,6,7,8,9,10,11,12
"{'Q1': np.float64(36.52080164016817), 'Q2': np.float64(73.04160328033635), 'Q3': np.float64(109.56240492050452), 'IQR': np.float64(73.04160328033635)}","{'Q1': np.float64(28.06287306956972), 'Q2': np.float64(69.05387696848344), 'Q3': np.float64(149.4345395835977), 'IQR': np.float64(121.37166651402799)}","{'Q1': np.float64(187.2278654767403), 'Q2': np.float64(316.34679711980925), 'Q3': np.float64(420.49785036433843), 'IQR': np.float64(233.26998488759813)}","{'Q1': np.float64(86.28273501143306), 'Q2': np.float64(153.31610815336074), 'Q3': np.float64(431.268935052147), 'IQR': np.float64(344.9862000407139)}","{'Q1': np.float64(43.77282372217394), 'Q2': np.float64(79.33204841528232), 'Q3': np.float64(107.05128361339129), 'IQR': np.float64(63.27845989121735)}","{'Q1': np.float64(80.37803188572916), 'Q2': np.float64(98.60602524556654), 'Q3': np.float64(116.83401860540393), 'IQR': np.float64(36.45598671967477)}","{'Q1': np.float64(129.41137684730938), 'Q2': np.float64(148.39812538792194), 'Q3': np.float64(304.511609610042), 'IQR': np.float64(175.10023276273262)}","{'Q1': np.float64(59.63362485575266), 'Q2': np.float64(123.25298928914867), 'Q3': np.float64(150.50205238866488), 'IQR': np.float64(90.86842753291222)}","{'Q1': np.float64(81.22977865746509), 'Q2': np.float64(96.46547979371994), 'Q3': np.float64(105.74933578524595), 'IQR': np.float64(24.519557127780857)}","{'Q1': np.float64(161.30756606033003), 'Q2': np.float64(161.30756606033003), 'Q3': np.float64(167.1299438403214), 'IQR': np.float64(5.8223777799913705)}","{'Q1': np.float64(8.056332247871069), 'Q2': np.float64(182.51307697234432), 'Q3': np.float64(247.00835274036405), 'IQR': np.float64(238.95202049249298)}","{'Q1': np.float64(228.87296659265039), 'Q2': np.float64(228.87296659265039), 'Q3': np.float64(228.87296659265039), 'IQR': np.float64(0.0)}","{'Q1': np.float64(136.0578533790044), 'Q2': np.float64(164.59116266916934), 'Q3': np.float64(199.17121845877597), 'IQR': np.float64(63.11336507977157)}"
"{'Q1': np.float64(84.35822314742211), 'Q2': np.float64(84.35822314742211), 'Q3': np.float64(84.35822314742211), 'IQR': np.float64(0.0)}","{'Q1': np.float64(50.20008013866834), 'Q2': np.float64(101.5773301999081), 'Q3': np.float64(181.37252866760775), 'IQR': np.float64(131.1724485289394)}","{'Q1': np.float64(142.28311272389823), 'Q2': np.float64(180.2479901679821), 'Q3': np.float64(260.11443757110646), 'IQR': np.float64(117.83132484720824)}","{'Q1': np.float64(25.758699345889696), 'Q2': np.float64(41.57814314589456), 'Q3': np.float64(96.08205025833718), 'IQR': np.float64(70.32335091244748)}","{'Q1': np.float64(15.949141181405949), 'Q2': np.float64(23.201814152409497), 'Q3': np.float64(107.89130488242637), 'IQR': np.float64(91.94216370102042)}","{'Q1': np.float64(25.0), 'Q2': np.float64(57.409881177738725), 'Q3': np.float64(92.01872389513397), 'IQR': np.float64(67.01872389513397)}","{'Q1': np.float64(170.8134721144092), 'Q2': np.float64(178.81359561859244), 'Q3': np.float64(486.0354086691416), 'IQR': np.float64(315.2219365547324)}","{'Q1': np.float64(35.61018750016362), 'Q2': np.float64(48.4071309372498), 'Q3': np.float64(61.20407437433599), 'IQR': np.float64(25.59388687417237)}","{'Q1': np.float64(265.2833947102057), 'Q2': np.float64(330.99381570663735), 'Q3': np.float64(395.0582080084531), 'IQR': np.float64(129.7748132982474)}","{'Q1': np.float64(424.6333296452059), 'Q2': np.float64(454.0905141163629), 'Q3': np.float64(485.9240489911307), 'IQR': np.float64(61.2907193459248)}","{'Q1': np.float64(328.987982307853), 'Q2': np.float64(328.987982307853), 'Q3': np.float64(328.987982307853), 'IQR': np.float64(0.0)}",,"{'Q1': np.float64(419.66193687394184), 'Q2': np.float64(419.66193687394184), 'Q3': np.float64(471.6829769265877), 'IQR': np.float64(52.021040052645844)}"
"{'Q1': np.float64(98.89619043824754), 'Q2': np.float64(133.56055348508795), 'Q3': np.float64(133.56055348508795), 'IQR': np.float64(34.66436304684041)}","{'Q1': np.float64(41.97109611797893), 'Q2': np.float64(164.40326329174258), 'Q3': np.float64(192.61922907045565), 'IQR': np.float64(150.64813295247671)}","{'Q1': np.float64(21.554574300744946), 'Q2': np.float64(36.000000000000114), 'Q3': np.float64(154.11526586869496), 'IQR': np.float64(132.56069156795002)}","{'Q1': np.float64(98.84898416713901), 'Q2': np.float64(142.4241704982778), 'Q3': np.float64(164.46500193077952), 'IQR': np.float64(65.61601776364051)}","{'Q1': np.float64(22.260418394000823), 'Q2': np.float64(62.33349682674452), 'Q3': np.float64(132.22662329873063), 'IQR': np.float64(109.9662049047298)}","{'Q1': np.float64(113.87477849081299), 'Q2': np.float64(122.25634318638038), 'Q3': np.float64(132.47660394818894), 'IQR': np.float64(18.601825457375952)}","{'Q1': np.float64(41.8035910325337), 'Q2': np.float64(125.20826774913095), 'Q3': np.float64(144.61791577982513), 'IQR': np.float64(102.81432474729142)}","{'Q1': np.float64(51.16614553495583), 'Q2': np.float64(72.90361301637654), 'Q3': np.float64(92.86241925412963), 'IQR': np.float64(41.6962737191738)}","{'Q1': np.float64(0.0), 'Q2': np.float64(31.52892418334084), 'Q3': np.float64(89.34720207508735), 'IQR': np.float64(89.34720207508735)}","{'Q1': np.float64(152.79233403323968), 'Q2': np.float64(412.30835356105695), 'Q3': np.float64(473.7338056396171), 'IQR': np.float64(320.94147160637743)}","{'Q1': np.float64(68.25418149185984), 'Q2': np.float64(123.95007702768913), 'Q3': np.float64(166.03287767529002), 'IQR': np.float64(97.77869618343018)}","{'Q1': np.float64(280.7369930555049), 'Q2': np.float64(373.2955776669585), 'Q3': np.float64(399.5721804235227), 'IQR': np.float64(118.83518736801778)}","{'Q1': np.float64(212.95883763987882), 'Q2': np.float64(366.2883791499273), 'Q3': np.float64(450.7703861249546), 'IQR': np.float64(237.81154848507578)}"
