subject,teacher,time_detail,all_colleges_registered,classroom
品質管制系統,楊素芬,三234,7,商館260101
人口統計,余清祥,三234,12,商館260206
人力資源管理,蔡維奇,二D56,48,寶來科技廳
人力資源管理,許書瑋,三D56,56,寶來國際廳
微積分,李智明,二D56,11,商館260310
組織行為,曹銀愛,四234,47,寶來科技廳
資訊管理,張瑋倫,三D56,82,商館260210
管理科學,陳立民,三D56,58,商院電腦室
管理科學,陳立民,五D56,57,商院電腦室
策略管理,黃國峯,二D56,52,炎成創新廳
商業資料分析：R運算,侯佩妤,四D56,17,商館260714
AI協作行銷,白佩玉、陳冠儒,二234,31,商館260712
管理經濟學（二）,王國樑,二78E,0,綜北270204
多元職場,胡昌亞,五234,12,商館260712
職涯發展,曹銀愛,三234,30,商館260712
激勵與領導,許育瑋,四567,19,元大人文廳
智能供應鏈：趨勢與應用,羅明琇,四567,31,商館260712
設計思考與創新,韓志翔,二567,14,商館260712
大數據品牌行銷,高端訓,一567,13,商館260712
電子商務實作研習,樓永堅,五234,28,商館260210
精實企業與管理實務研討,李易諭,二EFG,37,商館260205
銷售與顧客關係管理,巫立宇,一567,40,炎成創新廳
行銷研究,朴星俊,五EFG,22,寶來科技廳
資料庫管理,周致遠,一D56,66,商館260210
資料庫管理,周致遠,二D56,51,研究250201
資訊系統專案設計,陳恭、蔡瑞煌,六EFG,16,教室洽系所
資訊系統專案設計,李曉惠、周彥君、莊皓鈞,六EFG,14,教室洽系所
資訊系統專案設計,洪智鐸、郁方、蕭舜文,六EFG,15,教室洽系所
資訊系統專案設計,林怡伶、簡士鎰,六EFG,17,教室洽系所
資訊系統專案設計,向倩儀、杜雨儒、周致遠,六EFG,15,教室洽系所
資訊系統專案設計,洪為璽,六EFG,9,教室洽系所
資訊科技創新,莊豐源,四D56,70,研究250206
管理科學,周彥君、莊皓鈞,三234,52,商館260312
管理科學,周彥君、莊皓鈞,三78E,57,商館260210
程式設計二,林怡伶,一56,49,逸仙5樓資管電腦室
程式設計二,林怡伶,二23,54,逸仙5樓資管電腦室
學習演算法和其演化,蔡瑞煌,四D56,8,電算智慧教室
軟體分析與測試,洪智鐸,五D56,7,商館260311
作業系統,莊豐源,二D56,45,逸仙5樓資管電腦室
資訊系統專案管理,杜雨儒,三D56,9,商館260311
資料科學的商業應用,向倩儀,四234,20,商館260312
使用者體驗設計,簡士鎰,五D56,44,商館260205
演算法,張景堯,三234,63,逸仙5樓資管電腦室
進階財務管理,湛可南,二234,54,炎成創新廳
全方位理財與規劃,周行一,四234,11,商館260101
財務金融卓越講座,陳鴻毅,四567,18,商館260302
產險經營管理實務講座,林國彬,四234,5,商館260306
不動產財務,陳明吉,一D56,28,商館260311
財務資訊管理,謝沛霖,五234,19,電算微二室
計量經濟學,盧敬植,二567,35,商館260301
國際財務管理,張元晨,三234,63,商館260306
不動產估價,陳明吉,四D56,45,學思040208
微積分,曾毓英,五D56,95,商館260306
民法概要,王正偉,四56,18,商館260105
財產保險,陳彩稚,三D56,63,商館260206
社會保險,劉文彬,一D56,74,商館260306
風險管理,鄭士卿,五234,68,商館260205
保險監理與法規,陳開元,三D5,3,商館260204
機器學習與人工智慧個案實作,謝明華,三234,29,商館260311
金融科技趨勢與創新,王儷玲,二567,24,元大人文廳
產險經營管理實務講座,林國彬,四234,12,商館260306
金融機構風險管理,鄭士卿,四234,26,商館260102
財務數學（一）,黃泓智,四D56,79,商館260306
海上保險,黃正宗,二D56,4,商館260204
微積分實習,曾毓英,五7,95,商館260306
國際商學專題研討（二）,陳建維,五D56,1,教室洽系所
國際商學專題研討（四）,陳建維,五D56,1,教室洽系所
國際行銷管理,陳建維,四D56,32,商館260206
國際財務管理,徐政義,二D56,48,商館260207
國際金融,朴民佑,三D56,16,資訊140208
國際金融法專題（二）,楊光華,三78E,7,商院261042
Python入門與商業分析應用,鍾令德,一D56,42,商館260205
國際貿易爭端與商業糾紛解決,楊培侃,二234,12,商院261042
碳市場與排放權交易之法律分析,施文真,一567,9,商館261049
商情預測,林信助,四234,19,商院261047
國際企業經營法律風險實務探討,楊培侃,五D56,11,商館260313
策略行銷分析,蘇威傑,二234,10,寶來國際廳
貿易與投資專題,徐則謙,四D56,2,商館260102
WTO專題研究：服務貿易法,楊光華,四234,7,商院261042
財務金融資訊分析,顏佑銘,三D56,17,商館260106
企業策略經濟分析,譚丹琪,三234,1,商院261042
行銷管理,鄭濬浩,四234,0, 無資料
專案研究（一）,薛景文,五23,9,商館261049
財務經濟（二）,郭維裕,一D56,28,商館260202
固定收益證券﹕分析與創新,傅冶天,三234,77,商館260207
行銷研究,何乾瑋,三D56,34,商館260312
計量經濟學（二）,劉祝安,四D56,4,商院261042
總體經濟理論（一）,鄭琬蓉,三34C,4,商館260304
金融專題研討,江彌修,五D56,7,商館260301
財務管理,林建秀,五234,15,商館260206
金融專題研討,江彌修、羅秉政,三EFG,36,商館260306
財務經濟學（一）,詹育儒,三D56,3,商館260305
選擇權－評價與應用,江彌修,四D56,22,寶來科技廳
固定收益證券分析,詹育儒,二234,27,商館260313
永續金融與商品創新,楊曉文,三234,40,炎成創新廳
機器學習與財務計量,羅秉政,四234,18,商館260206
金融領域—證券市場實務,林靖庭,四34,29,炎成創新廳
投資決策與資產管理,李桐豪,四D56,18,寶來國際廳
金融市場專題研討（二）,林靖庭,四2,7,商館261148
當前金融問題研討,殷乃平,二567,47,秀明講堂
金融機構策略管理,江永裕、呂桔誠,二EFG,30,商館260201
