subject,teacher,time_detail,all_colleges_registered,classroom
互動科技研究討論,蔡欣叡,一567,5,藝文370218
互動科技：媒材、感知與設計,陳聖智,二D56,33,大仁200106
電腦動畫,陳俊良,三D56,1,大勇210315
實驗與統計法概述,陳宜秀,三EFG,11,藝文370218
方法論,劉慧雯,二234,6,新館180301
台灣電視產業發展,劉昌德,三8E,1,大勇210402
高等量化傳播研究方法,陳憶寧、羅文輝,二D56,3,大勇210316
資訊通訊法與社會,蘇蘅,二D56,0, 無資料
文化研究方法,王淑美,三234,4,新館180301
社交媒體研究,鄭宇君,二D56,4,傳播310207
兩岸流行文化研究─中國電影專題,李政亮,一D56,2,傳播310311
環境與健康風險傳播,徐美苓,三D56,1,傳播310206
音樂社會學：樂手、作品與創業,黃俊銘,二567,5,大勇210401
數位圖像敘事與創作,劉俐華,二34C,7,大勇210315
視覺元素與敘事,陳儒修,二D56,16,傳播310309
資訊通訊法與社會,蘇蘅,二D56,5,傳播310206
文化研究方法,王淑美,三234,10,新館180301
社交媒體研究,鄭宇君,二D56,12,傳播310207
影視剪接,雷震卿,四EFG,15,傳播310309
編劇學,何昕明,五234,4,傳播310431
兩岸流行文化研究—中國電影專題,李政亮,一D56,14,傳播310311
傳播理論,游絲涵,三567,18,傳播310207
聲音基礎,杜篤之,一2,17,大勇210402
環境與健康風險傳播,徐美苓,三D56,14,傳播310206
非劇情片理論與創作,李建成,一EFG,5,傳播310309
媒介賽局專題,曾國峰,三D56,18,傳播310309
文化創意產業發展策略與實例,鄭自隆,四234,25,傳播310309
導演方法,王亞維,三567,5,傳播310311
台灣文學與文化研究專題,陳佩甄,三567,0, 無資料
兩岸流行文化研究—中國電影專題,李政亮,一D56,0, 無資料
當代中國專題：遷徙、勞動與數位媒體,劉子愷,五D56,0,綜南270312
視覺元素與敘事,陳儒修,二D56,1,傳播310309
音樂社會學：樂手、作品與創業,黃俊銘,二567,1,大勇210401
非主流群體的媒體再現,葉嘉炘,三567,0, 無資料
女性電影與媒體文化,卓庭伍,二567,0,百年330203
台灣政治經濟發展與美國政策（二）,前田直樹,一D56,0,季陶340520
日本大眾文化研究,李衣雲,三567,0,綜南270110
資訊通訊法與社會,蘇蘅,二D56,0, 無資料
媒介生態專題,蘇蘅,六234,27,傳播310431
閱聽人專題,劉慧雯,六234,23,傳播310309
獨立研究,詳備註,日234,17, 無資料
AI與傳播科技應用,李怡志,六8EF,15,傳播310431
傳播科技與社會,王淑美,六567,13,傳播310431
研究創意坊,江靜之,六8EF,19,傳播310309
媒介賽局專題,曾國峰,六567,14,傳播310309
公共傳播與危機管理專題,鄭怡卉,六567,11,傳播310310
國外見習,陳儒修,日567,12, 無資料
