subject,teacher,time_detail,all_colleges_registered,classroom
日文習作（一）,成田純一,二34,15,學思040107
日文習作（二）,芝田沙代子,四34,19,綜北270405
日文習作（二）,城戶秀則,四34,14,綜北270401
日文習作（二）,增田高志,四34,16,綜北270403
日本專題研究Ａ２：語言,黑﨑貴史,三56,8,季陶340108
日本專題研究Ｂ２：文學,高啓豪,三34,23,季陶340302
日本專題研究Ｃ２：歷史文化,金想容,二56,22,季陶340405
日本名著選讀Ａ２：語言,喬曉筠,三56,20,研究250306
日本名著選讀Ｂ２：文學,高啓豪,四56,39,季陶340108
日本名著選讀Ｃ２：歷史文化,楊素霞,二56,11,研究250106
進階日譯中理論與實務２,王盈文,五34,8,研究250307
日語語法２,黑﨑貴史,三78,44,季陶340108
日本文學史２,高啓豪,四78,35,季陶340108
日語表現與創作２,山藤夏郎,三34,18,學思040107
日本近現代大眾文化史,金想容,三78,58,季陶340413
日譯中理論與實務２,王盈文,五12,16,研究250307
日語主題討論與簡報訓練２,山藤夏郎,二34,8,資訊140107
日本歷史２,楊素霞,一78,82,研究250206
商務日語２,喬曉筠,二78,13,研究250302
日文教材教法與實習,洪淑娟,四78,6,綜南270308
日商企業實作與參訪,王淑琴,五CD,15,研究250419
韓語翻譯,林侑毅,一D56,25,研究250303
初級韓國語,陳慶智,四234,41,道藩320316
中級韓國語,林侑毅,三234,47,資訊140305
高級韓國語,陳冠超,四D56,28,資訊140105
韓語口說訓練（一）,吳輪貞,二234,23,研究250421
韓語口說訓練（一）,李賢周,二234,22,研究250309
韓語口說訓練（二）,李賢周,四D56,28,資訊140305
韓語口說訓練（二）,吳輪貞,四D56,19,資訊140205
韓語口說訓練（三）,李昭林,二234,15,研究250420
韓語口說訓練（三）,李殷祥,二234,18,商館260204
韓語語法與應用,朴炳善,二234,24,資訊140305
韓語語法與應用,陳冠超,二234,22,研究250301
韓文寫作,李昭林,三234,15,綜北270207
韓文寫作,李賢周,三234,21,綜北270304
高級韓文語彙應用,吳輪貞,四23,0, 無資料
實用韓國語,李昭林,四34,6,資訊140305
進階韓語聽力,吳輪貞,二56,3,研究250421
韓國轉型正義電影評析,朱立熙,三EFG,137,研究250103
商用韓文書信,李賢周,四23,15,研究250309
韓國經濟成長,陳冠超,一D5,5,道藩320212
韓國社會與文化,朴炳善,三D5,8,道藩320212
生活韓國語,李賢周,二56,30,綜北270201
北韓研究,朱立熙,三78,114,研究250103
韓國文化概論,李昭林,三56,24,資訊140307
韓國現勢,陳慶智,四D5,35,道藩320212
韓國政治,權景祿,三D56,9,道藩320112
大一土耳其語,李珮玲,二234,37,道藩320215
大二土耳其語,李珮玲,三123,29,道藩320218
土耳其語視聽與會話（一）,艾睿哲、謝怡達,三234,16,道藩320217
土耳其語視聽與會話（一）,艾睿哲、謝怡達,三234,18,道藩320216
土耳其語視聽與會話（二）,吳世曼、徐漢陽,四234,16,道藩320216
土耳其語視聽與會話（二）,吳世曼、徐漢陽,四234,10,道藩320217
土耳其語視聽與會話（三）,謝怡達,二78,22,道藩320215
土耳其語語法與寫作,徐漢陽,三78,22,道藩320215
土耳其語視聽與會話（四）,艾睿哲,四78,16,道藩320216
土耳其語翻譯,曾蘭雅,一CD,17,道藩320216
土耳其文史專題,吳世曼,五234,27,道藩320215
中亞專題研究,艾彌拉,二D56,2,道藩320217
土耳其民俗舞蹈,艾睿哲,二56,12,道藩320315
用迪士尼動畫片學習土耳其語,謝怡達,一56,7,道藩320216
土耳其文化地理,艾睿哲,四56,9,道藩320216
吉爾吉斯語 ﹙二﹚,艾彌拉,一D56,3,道藩320217
土耳其節慶習俗中的土耳其語,謝怡達,一78,12,道藩320216
美食與文化,吳世曼,二78,19,道藩320217
土耳其休閒運動產業之發展,熊道天,二D56,42,道藩320215
現代土耳其與歐洲社經關係,熊道天,三D56,11,道藩320215
初級土耳其語,謝怡達,四D56,0, 無資料
初級法文聽力會話,薛芬妮,四56,25,資訊140104
