subject,teacher,time_detail,all_colleges_registered,classroom
歐洲人權公約與司法實踐,王士帆,三567,11,綜北270102
初級會計學（二）,林禹銘,一EFG,15,大勇210206
初級會計學（二）,林禹銘,二EFG,10,大勇210206
博物館展覽設計與製作,張駿逸,三34,5,綜南270416
X創業家,鄭至甫,未定或彈性,34, 無資料
語音學,杜容玥,三D56,25,資訊140207
族語測驗與評量,李台元,三78,7,綜南270308
阿美族語（二）,朱清義,一56,9,綜南270108
排灣族語（二）,波宏明,四56,3,綜南270212
布農族語（二）,全正文,二78,4,綜北270107
原住民族部落學習與體驗,王雅萍,五56,0, 無資料
原住民族行政及法規,吳秦雯,三D56,15,綜南270410
地方創生與青年創業實驗室,王雅萍,一78E,9,綜北270304
新媒體與創業,盧建誌,三567,5,大勇210401
阿美族語（四）,朱清義,一78,3,綜南270108
布農族語（四）,全正文,二FG,1,研究250102
排灣族語（四）,波宏明,四78,3,綜南270212
泰雅族語（四）,鄭光博,二CD,4,綜南270208
人社跨域的行動知識,陳建綱,未定或彈性,16, 無資料
賽夏族語（二）,風英輝,一EF,2,研究250421
意象與繪圖,陳文玲,四34C,9,創意實驗室
華人文化與社會,鄭又寧,一D56,22,研究250305
族語教材教法,李台元,三56,2,綜南270308
德語系國家現代社會與文化變遷,許嘉眙,三78,11,研究250204
日治時期台灣文學選讀,羅詩雲,二D56,21,百年330108
賽夏族語（四）,風英輝,三EF,0, 無資料
華語教學課堂管理與實作,方瑾,二D56,11,綜北270307
校園內的有感體驗設計,林承毅,三D56,19,學思040103
華語教學實習,鄭又寧、鍾隆瑋,四234,7,綜北270205
阿美語語法結構,朱清義,五34,1,綜南270108
社會實踐專題,王信實、高雅寧、陳志輝、蘇昱璇,三FG,10,綜南270314
台灣文學與當代議題,陳佩甄,五D56,44,研究250205
創新創業講做堂,林士淵,四D56,33,研總數位教學發展教室350112
跨界專題－Ｘ計畫Plus,鄭宇君,五34C,7, 無資料
給創作者的創造力,李宗興,二D56,12,創意實驗室
現象學與心理療癒,李維倫,四234,4,人偉講堂
虛擬資產與實體資產代幣化應用趨勢,鄭旭高,三D56,17,綜北270106
資料科學基礎：社會科學的工具箱,杜福童,一D56,6,綜南270110
電影與政治,梁家瑜,二234,11,綜北270403
音樂社會學：樂手、作品與創業,黃俊銘,二567,6,大勇210401
設計思考與人工智慧,陳宜秀、蔡炎龍,三234,63,人偉講堂
數位人文學概論,鄭有容,三D56,22,百年電腦室
中國神話選讀,高莉芬,四567,38,百年330213
文學經典閱讀與評論,黃庭頎,四D56,42,百年330406
近代中國婦女史,許慧琦,三234,32,季陶340405
元明清繪畫史,劉宇珍,四234,42,季陶340406
中國近世醫療史,陳秀芬,五D56,41,季陶340409
口述歷史,黃仁姿,四D56,44,季陶340516
知識論,鄭光明,五234,86,道藩320224
邏輯,鄭光明,四234,148,道藩320224
現象學與心理療癒,李維倫,四234,75,人偉講堂
宗教與性別專題：台灣的女神與女人,李玉珍,四234,2,百年330108
數位人文學概論,鄭有容,三D56,8,百年電腦室
數位策展與研究展示,陳淑君,四78E,5,百年電腦室
程式設計,羅崇銘,四234,5,百年電腦室
資料探勘技術與數位人文應用,陳志銘,四D56,7,百年電腦室
資訊組織,陳世娟,三234,11,百年電腦室
日本大眾文化研究,李衣雲,三567,2,綜南270110
日本古典文法,鄭家瑜,四D56,0, 無資料
台灣政治經濟發展與美國政策（二）,前田直樹,一D56,5,季陶340520
臺灣環境史,鄭麗榕,二34,2,季陶340519
東亞近代文學專題,崔末順,三34C,4,百年330412
中華民國憲法及政府,翁燕菁,五234,63,綜北270103
比較政府與政治,楊婉瑩,一D56,77,綜南270111
公共政策,湯京平,二D56,30,綜南270211
政治哲學概論,陳建綱,三D56,84,大勇210201
社會科學的邏輯,葉浩,三D56,52,綜南270409
意識型態理論,張其賢,四D56,17,綜南270416
民意與調查,陳陸輝,二234,25,綜南270212
國際公法,蔡沛倫,三34,129,資訊140306
中國外交史,陳麒安、黃奎博,四234,76,綜南270114
區域整合與歐亞關係,蘇卓馨,二234,9,綜合271112
中共政經發展與兩岸關係,朱新民,三34,62,綜北270303
性別社會學,苗延威,一D56,36,綜南270315
新社會思想史,高國魁,三D56,43,綜南270309
全球化與公共事務,呂采穎、杜文苓,五D56,49,綜南270311
土地政策,徐世榮,五234,141,綜南270415
