subject,teacher,time_detail,all_colleges_registered,classroom
勞動契約法專題研究（四）,林佳和,二78,14,綜合271407
刑罰思想史專題研究（二）,李聖傑,三5,0, 無資料
民事實務專題研究（二）,蘇永欽,四34,3,綜合271410
民法中心公益服務實習,周伯峰,四C,5,綜合271411
財法中心公益服務實習—金融消費評議中心見習（二）,周振鋒,二EF,1,綜合271408
國際人道法與難民法,蔡沛倫,四56,0, 無資料
法律經濟分析（一）,簡資修,四56,12,綜合271315
公法中心公益服務實習,傅玲靜,一C,2,綜合271407
中國大陸公司法研究（二）,王文杰,三34,12,綜合271411
行政法論文寫作,劉宗德,三FG,3,綜合271411
鑑識會計,朱家德、朱德芳、馬秀如,五D56,2,商館260815
檢察實務研究（二）,黃謀信,五56,6,綜北270103
歐盟法專題研究（二）,許耀明,五56,9,綜南270314
信託法理論與實務（二）,方嘉麟、胡玉瑩、馬國柱,五567,3,綜合271410
原住民族行政及法規,吳秦雯,三D56,5,綜南270410
刑事訴訟實務研究,陳德民,一67,6,綜合271411
專題三：AI與治理,陳柏良,三234,1,大勇210205
民事審判實務研究,邱景芬,五D567,27,綜合271407
親子法專題研究（三）,戴瑀如,一D5,12,綜合271407
營建工程法律專題研究（一）,顏玉明,五56,7,綜合271408
法學整合研究與論文研討（二）,王立達,四F,6,綜合271410
商務契約撰擬,朱德芳、程春益,二78,6,綜北270306
智慧財產權法專題研究（五）,陳龍昇,四56,2,綜合271408
國際智慧財產權法專題研究（三）,陳龍昇、謝祥揚,四EF,0,綜合271408
法學方法與民事審判實務,魏大喨,四56,8,綜合271407
土地、環境與法律,李明芝、傅玲靜,一78,3,綜南270311
社會法專題研究（六）,張桐銳,三34,8,綜合271408
文化與法律專題研究（三）,王曉丹,五D56,10,綜北270306
金融科技創新與監管政策專題,陳盈如、鄭婷嫻,五34,8,綜南270314
氣候變遷與法律,許耀明、傅玲靜,三56,5,綜北270306
民事損害賠償訴訟專題,劉明生,三34,14,綜合271407
日本民法入門,張韻琪,未定或彈性,8, 無資料
刑事立法學專題,黃士軒,三234,11,綜南270314
爭議案件與法律解釋方法,江玉林,四234,9,綜合271407
司法改革專題,許政賢,四56,0, 無資料
民事裁判評析與民法理論發展,詹森林,二56,22,大勇210205
美國法律檢索、分析與寫作（二）,朱德芳,未定或彈性,6, 無資料
英文契約導讀及撰寫（二）,顏玉明,未定或彈性,2, 無資料
刑事法的脈動,何賴傑,五34,31,綜北270105
行政法,傅玲靜,四34C,24,綜北270306
政府採購法,顏玉明,二56,5,綜合271315
行政救濟法,張桐銳,三78E,9,綜北270304
刑事政策,謝如媛,四234,5,綜北270204
證券交易法,陳盈如,三234,7,大勇210206
證券交易法,林國全,三234,6,綜南270114
證券交易法,周振鋒,五D56,1,綜北270201
法律倫理,蔡碧玉,四34,1,綜南270415
刑事法綜合研習,林俊益,一5678,10,大勇210105
法律服務,呂彥彬,三C,1,綜北270107
民事訴訟法（二）,劉明生,二234,5,大勇210101
民事訴訟法（二）,姜世明,二234,14,大仁200101
公平交易法,王立達,五678,7,大勇210201
保險法,葉啓洲,五234,15,綜合中央大教室 (270751)
保險法,陳俊元,五234,2,學思040202
海商法,沈宗倫,二56,0, 無資料
海商法,張新平,五D5,7,大勇210201
刑事訴訟法（二）,楊雲驊,二78,5,大勇210206
進階刑法,李聖傑,三234,21,綜北270306
土地、環境與法律,李明芝、傅玲靜,一78,1,綜南270311
企業併購法,周振鋒、黃朝琮,五78,4,綜北270403
體育運動與法律（二）,林佳和,一D56,21,大勇210106
海洋、科技與法律（一）,陳貞如,五4,3,綜合271410
生物醫學倫理與法律（一）,劉宏恩,四234,1,綜合271408
日本民法入門,張韻琪,未定或彈性,4, 無資料
美國法律檢索、分析與寫作（二）,朱德芳,未定或彈性,4, 無資料
國際智慧財產權法專題研究（三）,陳龍昇、謝祥揚,四EF,0,綜合271408
專題三：AI與治理,陳柏良,三234,0,大勇210205
刑事證據法專題研究（六）,楊雲驊、簡士淳,五78,1,綜合271411
經濟法專題研究（三）,王立達,四78,5,綜北270306
民法中心公益服務實習,周伯峰,四C,1,綜合271411
公法中心公益服務實習,傅玲靜,一C,0,綜合271407
財法中心公益服務實習－金融消費評議中心見習（二）,周振鋒,二EF,1,綜合271408
智慧財產與企業併購專題研究,馮震宇,三56,0, 無資料
勞動法案例研究,林良榮,三78,0, 無資料
集體勞動法,林良榮,三56,0, 無資料
商標法,陳龍昇,三56,7,綜北270302
英文契約導讀及撰寫（二）,顏玉明,未定或彈性,2, 無資料
強制執行法與破產法,劉明生,三56,8,大勇210202
著作權法,沈宗倫,二78,10,綜南270114
民事證據法專題研究,姜世明,六78,33,綜北270103
行政法,吳秦雯、林佳和、張桐銳,六D56,49,綜北270104
民法債編總論,王千維、呂彥彬,五FGH,51,綜北270104
物權法,呂彥彬、張韻琪,六234,20,綜北270104
刑法分則,黃士軒,六234,65,大勇210201
刑事訴訟法,何賴傑,六234,11,綜北270206
企業併購法專題研究,朱德芳、陳泰明、劉連煜,二FGH,12, 無資料
證券交易法,朱德芳,一FGH,29, 無資料
中國大陸投資法律制度與實務（二）,王文杰,四FGH,10, 無資料
爭議案件與法律解釋方法,江玉林,六234,13,綜南270314
侵權責任與責任保險專題研究,葉啓洲,二FGH,17, 無資料
信託法,周振鋒,四FGH,33, 無資料
論文寫作專題研究,李聖傑、周振鋒、廖元豪、戴瑀如,六D56,33,綜北270206
強制執行法專題研究（一）,劉明生,三FG,36, 無資料
國際生命法專題研究,許耀明,三FGH,12, 無資料
刑法實例研習（三）,陳志輝,一FGH,9, 無資料
租稅法專題研究（一）,盛子龍、傅玲靜,四FGH,24, 無資料
金融科技創新與監管政策專題研究,陳盈如、鄭婷嫻,五FGH,12,綜合271407
