subject,teacher,time_detail,all_colleges_registered,classroom
數位人文學概論,鄭有容,三D56,8,百年電腦室
資訊機構管理專題,鄭有容,一D56,7,百年電腦室
書目療法研究,邱炯友,五D56,3,百年330408
數位策展與研究展示,陳淑君,四78E,5,百年電腦室
程式設計,羅崇銘,四234,5,百年電腦室
資料探勘技術與數位人文應用,陳志銘,四D56,7,百年電腦室
檔案讀者服務專題,林巧敏,五D56,9,百年電腦室
檔案技術服務專題,薛理桂,四234,3,百年330408
資訊組織,陳世娟,三234,11,百年電腦室
企業檔案管理專題,李沛錞,四D56,12,百年330408
出版產業政策研究,邱炯友,二D56,0, 無資料
圖書資訊學統計,陳志銘,五234,26,百年電腦室
數位工具應用：從資訊檢索到生成式AI的實踐,林巧敏,未定或彈性,6, 無資料
宗教社會學,林敬智,三567,11,百年330211宗教會議室
比較宗教方法學,蔡源林,二567,3,百年330205
比較宗教：歷史與主題,吳欣芳,二234,4,百年330205
當代靈性運動與療癒專題,謝世維,五567,3,百年330211宗教會議室
大文山宗教與歷史,林敬智,四234,4,百年330205
五旬宗神學資料研讀,葉先秦,四D56,4,百年330205
宋元以後道教文獻導讀,謝世維,四567,10,百年330211宗教會議室
佛教與療癒,林佩瑩,五D56,7,百年330205
佛教跨國交流史專題,林佩瑩,四D56,2,季陶340304
宗教與台灣歷史變遷,吳欣芳,五234,0, 無資料
臺灣祭典與道教儀式專題,林振源,二D56,10,百年330211宗教會議室
宗教與性別專題：台灣的女神與女人,李玉珍,四234,8,百年330108
巴利文導讀,黃柏棋,三567,1,百年330205
研究方法與專題指導,薛化元,三34,6,季陶340520
宗教與性別專題：台灣的女神與女人,李玉珍,四234,0,百年330108
數位策展與研究展示,陳淑君,四78E,0,百年電腦室
數位人文學概論,鄭有容,三D56,0,百年電腦室
東亞現代史專題,藍適齊,四D56,0, 無資料
現代政治中的國民黨與共產黨,汪正晟,一D56,1,教室洽系所
書籍史專題,李仁淵,二78,0, 無資料
近代初期史料解讀與數位工具,林逸帆、翁佳音,二56,4,季陶340519
戰後台灣政治經濟史專題,薛化元,三C,9,季陶340520
台灣近代史的重大問題,薛化元,四D56,6,季陶340520
博物館歷史學,蘇峯楠,三78,12,季陶340519
日本殖民帝國專題,楊素霞,一56,2,研究250420
日本視野下的日本與中國近現代史,薛化元,未定或彈性,5, 無資料
西方眼中的中國與臺灣專題,周一騰,三567,0, 無資料
日本大眾文化研究,李衣雲,三567,2,綜南270110
日本古典文法,鄭家瑜,四D56,0, 無資料
台灣政治經濟發展與美國政策（二）,前田直樹,一D56,5,季陶340520
祖籍信仰與族群,李明仁,四34,4,季陶340520
清代台灣社會文化史,林文凱,三78,1,季陶340520
英文史學名著選讀,前田直樹,五34,18,研究250308
臺灣環境史,鄭麗榕,二34,2,季陶340519
二二八事件專題研究,陳儀深,三56,11,季陶340520
日文史學名著選讀,前田直樹,五D5,5,研究250421
戰後台灣經濟史專題,王國樑、李為楨,二234,7,研究250207
台灣文學史史料學,崔末順,二567,7,百年330412
近代台灣文史專題研究,曾士榮,五34C,2,研究250207
日治時期台日韓文學與東亞文藝思潮,吳佩珍,一567,4,百年330412
台灣文學與文化研究專題,陳佩甄,三567,6,百年330409
中國當代電影專題研究,楊小濱,一567,12,百年330407
當代華文小說研究專題,范銘如,四567,9,百年330412
英文台灣文學史史料學,范銘如,二567,3,百年330407
東亞近代文學專題,崔末順,三34C,4,百年330412
獨立研究,吳佩珍,二567,1,百年330409
比較文學,紀大偉,五567,8,百年330412
漢語語法理論與教學,張郇慧,二234,1,國際360611
華語語音學及音韻學,杜容玥,二D56,1,國際360611
對外華語教學實作,梁新欣,二D56,1,國際360501
華語文測驗與評量研究,方瑾,三234,1,國際360611
生成式人工智慧（GAI）與數位工具運用於華語文教學專題研討,舒兆民,五D56,3,國際360611
華裔漢語學習者專題研究,陳仲妤,三D56,0, 無資料
華語電影專題研究,林庭瑩,四D56,2,研究250205
網路時代語言教學議題深究,招靜琪,四234,3,國際360201
華語文跨文化課程設計與研究,黃雅英,三EFG,0, 無資料
漢字理論與應用,林宏明,三234,1,國際360501
漢語語意學,陳奕勳,三D56,1,國際360611
第二語言習得,陳仲妤,四D56,0, 無資料
漢語語法理論與教學,張郇慧,二234,9,國際360611
華語語音學及音韻學,杜容玥,二D56,10,國際360611
對外華語教學實作,梁新欣,二D56,11,國際360501
華語文測驗與評量研究,方瑾,三234,10,國際360611
生成式人工智慧（GAI）與數位工具運用於華語文教學專題研討,舒兆民,五D56,10,國際360611
華裔漢語學習者專題研究,陳仲妤,三D56,3,國際360501
華語電影專題研究,林庭瑩,四D56,9,研究250205
網路時代語言教學議題深究,招靜琪,四234,5,國際360201
華語文跨文化課程設計與研究,黃雅英,三EFG,12,研究250421
漢字理論與應用,林宏明,三234,6,國際360501
漢語語意學,陳奕勳,三D56,10,國際360611
第二語言習得,陳仲妤,四D56,4,國際360611
論文指導（二）,陳睿宏,未定或彈性,15, 無資料
語言與文化,宋韻珊,六567日567,12, 無資料
古典小說專題研究,林桂如,六567日567,8, 無資料
唐詩語言專題研究與教學,呂昭明,六234日234,12, 無資料
易學專題研究與教學,陳睿宏,六234日234,15, 無資料
研究方法,邱炯友,六78E,24,百年電腦室
知識組織與資訊取用,陳世娟,六D56,23,百年電腦室
資訊素養與教學,林巧敏,六234,23,百年電腦室
圖書館管理,陳世娟,日234,22,百年電腦室
