Q1,Q2,Q3,IQR
107.26252616530093,107.26252616530093,107.26252616530093,0.0
61.7313161801808,143.69092801183012,252.39107687528934,190.65976069510856
64.22683620615757,182.6444570818586,265.0632151269965,200.83637892083894
19.031645329521155,63.177842245203806,93.58892230265026,74.5572769731291
46.64730142502343,131.7163264617772,272.2885676863718,225.64126626134833
32.721794629388626,62.73789044749901,162.6904642729404,129.96866964355178
5.0,47.7217503067171,104.28898476321325,99.28898476321325
13.696163289034772,22.672717642966063,95.79284128345355,82.09667799441878
64.33044376020598,141.67716725444717,251.0787167546676,186.74827299446162
84.3329198016209,113.81786968783993,209.15768015135316,124.82476034973226
73.97844899162367,102.94565978758914,251.6132304833137,177.63478149169003
380.068161296565,380.068161296565,380.068161296565,0.0
92.26406020645248,111.29824079295247,132.74416625397748,40.480106047525
