1,2,3,4,5,6,7,8,9,10,11,12,0
"{'Q1': np.float64(48.83345523724711), 'Q2': np.float64(139.60117132932993), 'Q3': np.float64(272.18499087551584), 'IQR': np.float64(223.35153563826873)}","{'Q1': np.float64(22.73499829958837), 'Q2': np.float64(71.35735011275943), 'Q3': np.float64(185.357092918756), 'IQR': np.float64(162.62209461916763)}","{'Q1': np.float64(63.8947794063385), 'Q2': np.float64(87.68217970680826), 'Q3': np.float64(126.36090025676303), 'IQR': np.float64(62.46612085042453)}","{'Q1': np.float64(1.3990847505316992), 'Q2': np.float64(22.975960328473093), 'Q3': np.float64(42.57145276371102), 'IQR': np.float64(41.17236801317932)}","{'Q1': np.float64(45.54772943752934), 'Q2': np.float64(56.6021132764713), 'Q3': np.float64(86.40643453485603), 'IQR': np.float64(40.85870509732669)}","{'Q1': np.float64(5.0), 'Q2': np.float64(46.905766450926734), 'Q3': np.float64(103.66632300340109), 'IQR': np.float64(98.66632300340109)}","{'Q1': np.float64(19.586362308534348), 'Q2': np.float64(22.672717642966063), 'Q3': np.float64(164.46130602854896), 'IQR': np.float64(144.8749437200146)}","{'Q1': np.float64(175.49925387347008), 'Q2': np.float64(299.4423259855382), 'Q3': np.float64(396.8880595458952), 'IQR': np.float64(221.38880567242512)}","{'Q1': np.float64(56.36214980067409), 'Q2': np.float64(84.3329198016209), 'Q3': np.float64(122.00815673898839), 'IQR': np.float64(65.6460069383143)}","{'Q1': np.float64(70.11741097184014), 'Q2': np.float64(70.11741097184014), 'Q3': np.float64(70.11741097184014), 'IQR': np.float64(0.0)}","{'Q1': np.float64(380.068161296565), 'Q2': np.float64(380.068161296565), 'Q3': np.float64(380.068161296565), 'IQR': np.float64(0.0)}","{'Q1': np.float64(124.60256581912505), 'Q2': np.float64(171.86143504286005), 'Q3': np.float64(219.12030426659504), 'IQR': np.float64(94.51773844747)}",
"{'Q1': np.float64(58.07679053468115), 'Q2': np.float64(158.15601371313664), 'Q3': np.float64(241.546063098201), 'IQR': np.float64(183.46927256351984)}","{'Q1': np.float64(102.73960872556754), 'Q2': np.float64(185.63828853313038), 'Q3': np.float64(250.55004054958786), 'IQR': np.float64(147.81043182402033)}","{'Q1': np.float64(14.222377177550925), 'Q2': np.float64(21.0), 'Q3': np.float64(55.07625571122901), 'IQR': np.float64(40.853878533678085)}","{'Q1': np.float64(100.60049018116132), 'Q2': np.float64(134.1387153999837), 'Q3': np.float64(143.91479799328158), 'IQR': np.float64(43.31430781212026)}","{'Q1': np.float64(32.721794629388626), 'Q2': np.float64(101.75768602570696), 'Q3': np.float64(162.6904642729404), 'IQR': np.float64(129.96866964355178)}","{'Q1': np.float64(5.573876805968439), 'Q2': np.float64(48.10570646352177), 'Q3': np.float64(79.69710710332922), 'IQR': np.float64(74.12323029736078)}","{'Q1': np.float64(5.4110695246526035), 'Q2': np.float64(10.0), 'Q3': np.float64(13.696163289034772), 'IQR': np.float64(8.285093764382168)}","{'Q1': np.float64(53.56550161137923), 'Q2': np.float64(66.55362930954897), 'Q3': np.float64(83.19656427684096), 'IQR': np.float64(29.631062665461727)}","{'Q1': np.float64(83.74130342451701), 'Q2': np.float64(101.0067927065113), 'Q3': np.float64(113.81786968783993), 'IQR': np.float64(30.076566263322917)}","{'Q1': np.float64(73.97844899162367), 'Q2': np.float64(102.94565978758914), 'Q3': np.float64(124.53302212875694), 'IQR': np.float64(50.554573137133275)}",,"{'Q1': np.float64(120.60800816388382), 'Q2': np.float64(126.67608720893065), 'Q3': np.float64(132.74416625397748), 'IQR': np.float64(12.136158090093659)}","{'Q1': np.float64(107.26252616530093), 'Q2': np.float64(107.26252616530093), 'Q3': np.float64(107.26252616530093), 'IQR': np.float64(0.0)}"
"{'Q1': np.float64(68.69032439905394), 'Q2': np.float64(138.85492900974077), 'Q3': np.float64(255.4059654134132), 'IQR': np.float64(186.71564101435928)}","{'Q1': np.float64(167.21556868986087), 'Q2': np.float64(338.57322050575056), 'Q3': np.float64(418.69898317220236), 'IQR': np.float64(251.4834144823415)}","{'Q1': np.float64(16.716333801272697), 'Q2': np.float64(41.14647490231437), 'Q3': np.float64(77.88366988057896), 'IQR': np.float64(61.16733607930627)}","{'Q1': np.float64(62.92946168793988), 'Q2': np.float64(215.17549469122406), 'Q3': np.float64(290.8834959321327), 'IQR': np.float64(227.95403424419283)}","{'Q1': np.float64(53.72849256609882), 'Q2': np.float64(191.60789312596953), 'Q3': np.float64(334.3992936358832), 'IQR': np.float64(280.6708010697844)}","{'Q1': np.float64(151.7369790879799), 'Q2': np.float64(230.53511086527973), 'Q3': np.float64(280.4123945444421), 'IQR': np.float64(128.67541545646222)}","{'Q1': np.float64(44.00000022770547), 'Q2': np.float64(53.00000045541094), 'Q3': np.float64(86.76298878378194), 'IQR': np.float64(42.762988556076465)}","{'Q1': np.float64(224.17129362325957), 'Q2': np.float64(248.9884827534789), 'Q3': np.float64(300.7290472694192), 'IQR': np.float64(76.55775364615963)}","{'Q1': np.float64(169.57177525981172), 'Q2': np.float64(490.1355800744276), 'Q3': np.float64(490.1355800744276), 'IQR': np.float64(320.5638048146159)}","{'Q1': np.float64(407.02293627149584), 'Q2': np.float64(407.02293627149584), 'Q3': np.float64(407.02293627149584), 'IQR': np.float64(0.0)}",,"{'Q1': np.float64(92.26406020645248), 'Q2': np.float64(97.5282242933243), 'Q3': np.float64(102.79238838019612), 'IQR': np.float64(10.528328173743631)}",
