0,1,2,3,4,5,6,7,8,9,10,11,12
"{'Q1': np.float64(92.26482987217699), 'Q2': np.float64(92.26482987217699), 'Q3': np.float64(92.26482987217699), 'IQR': np.float64(0.0)}","{'Q1': np.float64(27.821696563591786), 'Q2': np.float64(113.82868249050262), 'Q3': np.float64(173.97057158733696), 'IQR': np.float64(146.14887502374518)}","{'Q1': np.float64(187.0551575122691), 'Q2': np.float64(279.18966379338167), 'Q3': np.float64(531.7784249425522), 'IQR': np.float64(344.7232674302831)}","{'Q1': np.float64(102.15289408950444), 'Q2': np.float64(188.1639125255534), 'Q3': np.float64(277.0607659951666), 'IQR': np.float64(174.90787190566215)}","{'Q1': np.float64(54.298775215012654), 'Q2': np.float64(72.45107466446434), 'Q3': np.float64(164.397631051748), 'IQR': np.float64(110.09885583673534)}","{'Q1': np.float64(54.58132530866476), 'Q2': np.float64(211.16524758707448), 'Q3': np.float64(432.36054250974547), 'IQR': np.float64(377.7792172010807)}","{'Q1': np.float64(44.26976512540435), 'Q2': np.float64(69.42235084261995), 'Q3': np.float64(156.3927145133647), 'IQR': np.float64(112.12294938796035)}","{'Q1': np.float64(22.672717642966063), 'Q2': np.float64(71.05970545475418), 'Q3': np.float64(81.93901117599836), 'IQR': np.float64(59.2662935330323)}","{'Q1': np.float64(396.8880595458952), 'Q2': np.float64(478.5003343784662), 'Q3': np.float64(537.7446349605782), 'IQR': np.float64(140.856575414683)}","{'Q1': np.float64(194.97251671986186), 'Q2': np.float64(222.94328672080866), 'Q3': np.float64(260.6185236581762), 'IQR': np.float64(65.64600693831431)}","{'Q1': np.float64(418.88436629543867), 'Q2': np.float64(418.88436629543867), 'Q3': np.float64(418.88436629543867), 'IQR': np.float64(0.0)}","{'Q1': np.float64(399.8955718657585), 'Q2': np.float64(419.7229824349519), 'Q3': np.float64(439.55039300414535), 'IQR': np.float64(39.654821138386865)}","{'Q1': np.float64(171.86143504286005), 'Q2': np.float64(266.37917349033006), 'Q3': np.float64(391.55198106788555), 'IQR': np.float64(219.6905460250255)}"
"{'Q1': np.float64(458.0286372722262), 'Q2': np.float64(579.5546177362523), 'Q3': np.float64(586.3780442111694), 'IQR': np.float64(128.34940693894316)}","{'Q1': np.float64(42.307520988595684), 'Q2': np.float64(141.15879147666644), 'Q3': np.float64(205.18870717202782), 'IQR': np.float64(162.88118618343213)}","{'Q1': np.float64(43.97014556937927), 'Q2': np.float64(91.44987831610057), 'Q3': np.float64(228.3224647972169), 'IQR': np.float64(184.35231922783763)}","{'Q1': np.float64(10.132572139358516), 'Q2': np.float64(40.119022812395116), 'Q3': np.float64(120.26458417990688), 'IQR': np.float64(110.13201204054836)}","{'Q1': np.float64(48.309773781441564), 'Q2': np.float64(71.84231730619285), 'Q3': np.float64(107.39552409294174), 'IQR': np.float64(59.08575031150018)}","{'Q1': np.float64(44.03125350400242), 'Q2': np.float64(147.8449351094746), 'Q3': np.float64(223.61979989349834), 'IQR': np.float64(179.58854638949592)}","{'Q1': np.float64(40.67043592502719), 'Q2': np.float64(51.12976402785171), 'Q3': np.float64(194.80522852143895), 'IQR': np.float64(154.13479259641176)}","{'Q1': np.float64(13.303946757199597), 'Q2': np.float64(26.607893514399194), 'Q3': np.float64(103.5351493960875), 'IQR': np.float64(90.23120263888791)}","{'Q1': np.float64(54.894561322152086), 'Q2': np.float64(112.155658966365), 'Q3': np.float64(176.20890558257548), 'IQR': np.float64(121.3143442604234)}","{'Q1': np.float64(82.82813187313279), 'Q2': np.float64(116.02705237123898), 'Q3': np.float64(172.75059407874468), 'IQR': np.float64(89.9224622056119)}","{'Q1': np.float64(52.26748640935432), 'Q2': np.float64(78.74834945027479), 'Q3': np.float64(200.9350571050789), 'IQR': np.float64(148.66757069572458)}","{'Q1': np.float64(338.4876393547038), 'Q2': np.float64(338.5624417347835), 'Q3': np.float64(338.63724411486317), 'IQR': np.float64(0.1496047601593773)}","{'Q1': np.float64(71.2196537491343), 'Q2': np.float64(77.28773279418112), 'Q3': np.float64(83.35581183922795), 'IQR': np.float64(12.136158090093659)}"
,"{'Q1': np.float64(48.346106314178456), 'Q2': np.float64(113.0482026468193), 'Q3': np.float64(195.46702329621644), 'IQR': np.float64(147.12091698203798)}","{'Q1': np.float64(247.22729425541064), 'Q2': np.float64(359.0395546603001), 'Q3': np.float64(456.74438642223555), 'IQR': np.float64(209.5170921668249)}","{'Q1': np.float64(31.025539422606556), 'Q2': np.float64(59.36138643377376), 'Q3': np.float64(210.7422172716229), 'IQR': np.float64(179.71667784901635)}","{'Q1': np.float64(91.73367047040551), 'Q2': np.float64(215.17549469122406), 'Q3': np.float64(290.8834959321327), 'IQR': np.float64(199.14982546172718)}","{'Q1': np.float64(73.73403372949755), 'Q2': np.float64(272.245069560675), 'Q3': np.float64(468.99959162076254), 'IQR': np.float64(395.26555789126496)}","{'Q1': np.float64(244.8080147511015), 'Q2': np.float64(443.40933681010773), 'Q3': np.float64(554.6414975531272), 'IQR': np.float64(309.83348280202574)}","{'Q1': np.float64(79.89449779825762), 'Q2': np.float64(120.52597711215293), 'Q3': np.float64(347.6566061462287), 'IQR': np.float64(267.7621083479711)}","{'Q1': np.float64(225.33398581430964), 'Q2': np.float64(225.33398581430964), 'Q3': np.float64(225.33398581430964), 'IQR': np.float64(0.0)}","{'Q1': np.float64(179.99657567343934), 'Q2': np.float64(500.5603804880552), 'Q3': np.float64(500.5603804880552), 'IQR': np.float64(320.5638048146159)}","{'Q1': np.float64(351.7306564052785), 'Q2': np.float64(351.7306564052785), 'Q3': np.float64(351.7306564052785), 'IQR': np.float64(0.0)}",,"{'Q1': np.float64(449.0252600646886), 'Q2': np.float64(454.2894241515604), 'Q3': np.float64(459.55358823843227), 'IQR': np.float64(10.52832817374366)}"
