1,3,4,5,6,7,8,9,10,11,12,0
"{'Q1': np.float64(76.44151776188326), 'Q2': np.float64(186.77560862980073), 'Q3': np.float64(303.45890027806894), 'IQR': np.float64(227.01738251618568)}","{'Q1': np.float64(92.74627633221101), 'Q2': np.float64(164.49253017570567), 'Q3': np.float64(194.34354302573738), 'IQR': np.float64(101.59726669352636)}","{'Q1': np.float64(93.75010830376833), 'Q2': np.float64(217.38632546573672), 'Q3': np.float64(267.8161526622765), 'IQR': np.float64(174.06604435850818)}","{'Q1': np.float64(182.38779603739863), 'Q2': np.float64(277.0607659951666), 'Q3': np.float64(335.1518813232501), 'IQR': np.float64(152.76408528585148)}","{'Q1': np.float64(76.101552544811), 'Q2': np.float64(123.05728012046296), 'Q3': np.float64(202.89807938830126), 'IQR': np.float64(126.79652684349026)}","{'Q1': np.float64(31.910881676747294), 'Q2': np.float64(58.057210650407455), 'Q3': np.float64(93.88958502811505), 'IQR': np.float64(61.978703351367756)}","{'Q1': np.float64(53.19479871247698), 'Q2': np.float64(73.9230605316288), 'Q3': np.float64(197.60675514609738), 'IQR': np.float64(144.4119564336204)}","{'Q1': np.float64(125.93484077152158), 'Q2': np.float64(229.67604183889102), 'Q3': np.float64(409.05942819095344), 'IQR': np.float64(283.12458741943186)}","{'Q1': np.float64(40.23129300471163), 'Q2': np.float64(84.38404270150056), 'Q3': np.float64(133.4551551683655), 'IQR': np.float64(93.22386216365388)}","{'Q1': np.float64(199.00373713646036), 'Q2': np.float64(293.9182258361866), 'Q3': np.float64(446.75652699976627), 'IQR': np.float64(247.7527898633059)}","{'Q1': np.float64(27.443061242197018), 'Q2': np.float64(72.18240589733446), 'Q3': np.float64(100.71549903203575), 'IQR': np.float64(73.27243778983873)}",
"{'Q1': np.float64(79.56343349946593), 'Q2': np.float64(174.39436833337345), 'Q3': np.float64(264.2300072663747), 'IQR': np.float64(184.66657376690875)}","{'Q1': np.float64(196.24777610180954), 'Q2': np.float64(221.68024300448303), 'Q3': np.float64(241.72289622911612), 'IQR': np.float64(45.47512012730658)}","{'Q1': np.float64(92.2799665395585), 'Q2': np.float64(159.7919460441807), 'Q3': np.float64(302.5550834617485), 'IQR': np.float64(210.27511692219)}","{'Q1': np.float64(56.50314557184201), 'Q2': np.float64(89.97513573937937), 'Q3': np.float64(121.11322855142068), 'IQR': np.float64(64.61008297957866)}","{'Q1': np.float64(101.74785683877376), 'Q2': np.float64(354.8869470492577), 'Q3': np.float64(428.58865355092746), 'IQR': np.float64(326.8407967121537)}","{'Q1': np.float64(49.16617182558768), 'Q2': np.float64(95.73460814163306), 'Q3': np.float64(142.30304445767842), 'IQR': np.float64(93.13687263209074)}","{'Q1': np.float64(42.39268036433556), 'Q2': np.float64(44.28958027572447), 'Q3': np.float64(127.63915579782264), 'IQR': np.float64(85.24647543348708)}","{'Q1': np.float64(91.1543384310819), 'Q2': np.float64(124.73307264412165), 'Q3': np.float64(263.7424714196693), 'IQR': np.float64(172.5881329885874)}","{'Q1': np.float64(117.08708917208014), 'Q2': np.float64(302.0634650742115), 'Q3': np.float64(426.7162107596644), 'IQR': np.float64(309.6291215875843)}","{'Q1': np.float64(115.46299378201229), 'Q2': np.float64(187.5795922027848), 'Q3': np.float64(275.31244330480104), 'IQR': np.float64(159.84944952278875)}","{'Q1': np.float64(14.488540887893919), 'Q2': np.float64(40.86132844391125), 'Q3': np.float64(70.70502668103228), 'IQR': np.float64(56.21648579313836)}","{'Q1': np.float64(107.26252616530093), 'Q2': np.float64(107.26252616530093), 'Q3': np.float64(107.26252616530093), 'IQR': np.float64(0.0)}"
"{'Q1': np.float64(96.60304875849253), 'Q2': np.float64(182.30372188981863), 'Q3': np.float64(315.42007385459294), 'IQR': np.float64(218.8170250961004)}","{'Q1': np.float64(74.65432911709217), 'Q2': np.float64(74.65432911709217), 'Q3': np.float64(74.65432911709217), 'IQR': np.float64(0.0)}","{'Q1': np.float64(35.49418971735015), 'Q2': np.float64(147.42769910203899), 'Q3': np.float64(337.24669146395337), 'IQR': np.float64(301.75250174660323)}","{'Q1': np.float64(35.539939814757865), 'Q2': np.float64(46.72146484521795), 'Q3': np.float64(62.895764421150616), 'IQR': np.float64(27.35582460639275)}","{'Q1': np.float64(48.994568489728614), 'Q2': np.float64(138.96005730693452), 'Q3': np.float64(271.624909638275), 'IQR': np.float64(222.63034114854642)}","{'Q1': np.float64(51.922587985682114), 'Q2': np.float64(88.17227388364094), 'Q3': np.float64(167.98880421185459), 'IQR': np.float64(116.06621622617247)}","{'Q1': np.float64(139.09570382492217), 'Q2': np.float64(139.09570382492217), 'Q3': np.float64(142.10526297499734), 'IQR': np.float64(3.0095591500751766)}","{'Q1': np.float64(72.28727111997438), 'Q2': np.float64(115.45077723941915), 'Q3': np.float64(341.74361421441654), 'IQR': np.float64(269.45634309444216)}","{'Q1': np.float64(71.45131913066838), 'Q2': np.float64(152.6645667611216), 'Q3': np.float64(237.32418190525587), 'IQR': np.float64(165.87286277458747)}","{'Q1': np.float64(76.37319842966), 'Q2': np.float64(228.3257421895957), 'Q3': np.float64(308.0358578659117), 'IQR': np.float64(231.6626594362517)}","{'Q1': np.float64(42.51107261673774), 'Q2': np.float64(165.06661740834159), 'Q3': np.float64(247.87289999607543), 'IQR': np.float64(205.36182737933768)}",
