Q1,Q2,Q3,IQR
107.26252616530093,107.26252616530093,107.26252616530093,0.0
111.43551567646111,232.3017663287406,347.3985999996444,235.96308432318327
77.36535566742359,179.9318212449612,257.47759004400143,180.11223437657785
21.510027484921835,79.62396014251334,124.41180044054732,102.90177295562549
47.16491286893478,97.9340451798999,187.61712069863,140.45220782969523
68.34700324873961,118.25981753442755,184.6689778135,116.32197456476038
31.17348557843121,58.057210650407455,91.55620479212901,60.3827192136978
67.17116139766254,106.50938217827549,147.53362851081914,80.3624671131566
49.296868598999325,101.07648078937548,169.71847999921928,120.42161140021996
73.16909398899543,136.57896723212775,217.13606246100954,143.96696847201412
82.28434575406953,178.00022613885164,269.20582187598677,186.92147612191724
46.694248430374216,100.67466020932565,156.98290833092017,110.28865990054595
