1,3,4,5,6,7,8,9,10,11,12,0
"{'Q1': np.float64(112.47812440087333), 'Q2': np.float64(249.90015376796606), 'Q3': np.float64(378.9028850279484), 'IQR': np.float64(266.4247606270751)}","{'Q1': np.float64(105.56611265086775), 'Q2': np.float64(140.72883815921796), 'Q3': np.float64(232.04963507262426), 'IQR': np.float64(126.4835224217565)}","{'Q1': np.float64(16.229060386188557), 'Q2': np.float64(69.34797831529212), 'Q3': np.float64(99.31617501427087), 'IQR': np.float64(83.0871146280823)}","{'Q1': np.float64(76.77455737405246), 'Q2': np.float64(170.48830165581074), 'Q3': np.float64(186.8487005593792), 'IQR': np.float64(110.07414318532675)}","{'Q1': np.float64(32.32556600729832), 'Q2': np.float64(64.4414095482463), 'Q3': np.float64(92.39118225466048), 'IQR': np.float64(60.06561624736216)}","{'Q1': np.float64(9.953116126661392), 'Q2': np.float64(20.955440838373647), 'Q3': np.float64(42.35200120246752), 'IQR': np.float64(32.39888507580613)}","{'Q1': np.float64(53.19479871247698), 'Q2': np.float64(73.9230605316288), 'Q3': np.float64(197.60675514609738), 'IQR': np.float64(144.4119564336204)}","{'Q1': np.float64(73.28407565366888), 'Q2': np.float64(103.27972392774109), 'Q3': np.float64(141.47729939868583), 'IQR': np.float64(68.19322374501695)}","{'Q1': np.float64(25.609823712770023), 'Q2': np.float64(57.6187980317859), 'Q3': np.float64(96.57168317136276), 'IQR': np.float64(70.96185945859274)}","{'Q1': np.float64(44.60208235364945), 'Q2': np.float64(105.8679562948621), 'Q3': np.float64(199.00373713646036), 'IQR': np.float64(154.4016547828109)}","{'Q1': np.float64(99.67035321314461), 'Q2': np.float64(158.27938935721403), 'Q3': np.float64(250.77702621343627), 'IQR': np.float64(151.10667300029166)}",
"{'Q1': np.float64(103.43949833009626), 'Q2': np.float64(202.92113334359925), 'Q3': np.float64(309.60059999074906), 'IQR': np.float64(206.1611016606528)}","{'Q1': np.float64(257.47759004400143), 'Q2': np.float64(293.27493708351983), 'Q3': np.float64(338.7500572108264), 'IQR': np.float64(81.27246716682498)}","{'Q1': np.float64(18.80829839860678), 'Q2': np.float64(81.41582594781364), 'Q3': np.float64(243.59519134927632), 'IQR': np.float64(224.78689295066954)}","{'Q1': np.float64(56.834986000355386), 'Q2': np.float64(110.11920612489718), 'Q3': np.float64(200.6130991613035), 'IQR': np.float64(143.77811316094812)}","{'Q1': np.float64(29.78052473660466), 'Q2': np.float64(123.17516964011568), 'Q3': np.float64(179.93493685192504), 'IQR': np.float64(150.15441211532038)}","{'Q1': np.float64(49.16617182558768), 'Q2': np.float64(95.73460814163306), 'Q3': np.float64(142.30304445767842), 'IQR': np.float64(93.13687263209074)}","{'Q1': np.float64(24.439654446084546), 'Q2': np.float64(26.336554357473453), 'Q3': np.float64(123.15089931825989), 'IQR': np.float64(98.71124487217534)}","{'Q1': np.float64(91.1543384310819), 'Q2': np.float64(124.73307264412165), 'Q3': np.float64(263.7424714196693), 'IQR': np.float64(172.5881329885874)}","{'Q1': np.float64(100.0792534745662), 'Q2': np.float64(155.89209546713528), 'Q3': np.float64(301.18762290662585), 'IQR': np.float64(201.10836943205965)}","{'Q1': np.float64(55.0), 'Q2': np.float64(123.23838158792606), 'Q3': np.float64(240.39523049860918), 'IQR': np.float64(185.39523049860918)}","{'Q1': np.float64(57.64368587108703), 'Q2': np.float64(93.87484493310772), 'Q3': np.float64(119.87652846944417), 'IQR': np.float64(62.23284259835714)}","{'Q1': np.float64(107.26252616530093), 'Q2': np.float64(107.26252616530093), 'Q3': np.float64(107.26252616530093), 'IQR': np.float64(0.0)}"
"{'Q1': np.float64(121.88630568736), 'Q2': np.float64(204.75104462751273), 'Q3': np.float64(311.03208493185446), 'IQR': np.float64(189.14577924449446)}","{'Q1': np.float64(145.89958390699513), 'Q2': np.float64(145.89958390699513), 'Q3': np.float64(145.89958390699513), 'IQR': np.float64(0.0)}","{'Q1': np.float64(70.11597101415349), 'Q2': np.float64(153.379129543359), 'Q3': np.float64(208.25816319392555), 'IQR': np.float64(138.14219217977205)}","{'Q1': np.float64(147.79897524962047), 'Q2': np.float64(356.50657242778544), 'Q3': np.float64(512.9632988443838), 'IQR': np.float64(365.1643235947633)}","{'Q1': np.float64(81.83770232912342), 'Q2': np.float64(165.38606562629434), 'Q3': np.float64(215.86526509272386), 'IQR': np.float64(134.02756276360043)}","{'Q1': np.float64(58.432093534285656), 'Q2': np.float64(80.79971506248215), 'Q3': np.float64(100.35028751471108), 'IQR': np.float64(41.91819398042543)}","{'Q1': np.float64(139.09570382492217), 'Q2': np.float64(139.09570382492217), 'Q3': np.float64(142.10526297499734), 'IQR': np.float64(3.0095591500751766)}","{'Q1': np.float64(95.18175995858843), 'Q2': np.float64(128.03365836686453), 'Q3': np.float64(171.62998286723143), 'IQR': np.float64(76.448222908643)}","{'Q1': np.float64(198.69823877842538), 'Q2': np.float64(350.2867319686179), 'Q3': np.float64(416.08198266743636), 'IQR': np.float64(217.383743889011)}","{'Q1': np.float64(158.59309067735475), 'Q2': np.float64(271.7004175712806), 'Q3': np.float64(383.23906773405196), 'IQR': np.float64(224.6459770566972)}","{'Q1': np.float64(36.172336876076216), 'Q2': np.float64(75.74656734636456), 'Q3': np.float64(112.76148127434477), 'IQR': np.float64(76.58914439826856)}",
