1,3,4,5,6,7,8,9,10,11,12,0
"{'Q1': np.float64(10.95738388457135), 'Q2': np.float64(44.318200172568055), 'Q3': np.float64(72.55702587266694), 'IQR': np.float64(61.59964198809559)}","{'Q1': np.float64(13.27157326049501), 'Q2': np.float64(31.876558235815267), 'Q3': np.float64(96.82953893441055), 'IQR': np.float64(83.55796567391553)}","{'Q1': np.float64(58.89874506268997), 'Q2': np.float64(119.52128946059806), 'Q3': np.float64(200.71528284512294), 'IQR': np.float64(141.816537782433)}","{'Q1': np.float64(63.725519864575936), 'Q2': np.float64(88.49688852912018), 'Q3': np.float64(278.91167714057616), 'IQR': np.float64(215.18615727600022)}","{'Q1': np.float64(39.46263503047482), 'Q2': np.float64(119.0401659774316), 'Q3': np.float64(216.2227732783491), 'IQR': np.float64(176.7601382478743)}","{'Q1': np.float64(151.2985590049725), 'Q2': np.float64(228.94514131651775), 'Q3': np.float64(306.591723628063), 'IQR': np.float64(155.2931646230905)}","{'Q1': np.float64(53.38254873006835), 'Q2': np.float64(79.91115453112806), 'Q3': np.float64(180.09571320838722), 'IQR': np.float64(126.71316447831887)}","{'Q1': np.float64(56.72187862518835), 'Q2': np.float64(59.46213509287449), 'Q3': np.float64(62.20239156056063), 'IQR': np.float64(5.480512935372275)}","{'Q1': np.float64(207.98452730966835), 'Q2': np.float64(303.63072123533124), 'Q3': np.float64(414.05357172706726), 'IQR': np.float64(206.0690444173989)}","{'Q1': np.float64(91.72683724043861), 'Q2': np.float64(128.45367448087723), 'Q3': np.float64(165.18051172131584), 'IQR': np.float64(73.45367448087723)}","{'Q1': np.float64(345.4165174390133), 'Q2': np.float64(477.031569955921), 'Q3': np.float64(588.9835867320687), 'IQR': np.float64(243.5670692930554)}",
"{'Q1': np.float64(20.390862861687566), 'Q2': np.float64(60.62059943080493), 'Q3': np.float64(127.06064135247374), 'IQR': np.float64(106.66977849078617)}","{'Q1': np.float64(0.5999666885761314), 'Q2': np.float64(17.14810889080411), 'Q3': np.float64(25.969667165702504), 'IQR': np.float64(25.369700477126372)}","{'Q1': np.float64(12.822390732334654), 'Q2': np.float64(37.19932627233038), 'Q3': np.float64(144.39867702210998), 'IQR': np.float64(131.57628628977534)}","{'Q1': np.float64(32.47155282100556), 'Q2': np.float64(64.94310564201112), 'Q3': np.float64(86.98656290257685), 'IQR': np.float64(54.51501008157129)}","{'Q1': np.float64(57.76782242889296), 'Q2': np.float64(67.91641195606277), 'Q3': np.float64(142.4663577739704), 'IQR': np.float64(84.69853534507743)}","{'Q1': np.float64(4.075648218264973), 'Q2': np.float64(16.11286208647395), 'Q3': np.float64(30.214383283244565), 'IQR': np.float64(26.138735064979592)}","{'Q1': np.float64(31.25), 'Q2': np.float64(55.482140462472785), 'Q3': np.float64(87.64127426936511), 'IQR': np.float64(56.39127426936511)}","{'Q1': np.float64(49.14616229735212), 'Q2': np.float64(84.41756304208735), 'Q3': np.float64(103.167017930552), 'IQR': np.float64(54.020855633199886)}","{'Q1': np.float64(36.41129715264538), 'Q2': np.float64(44.8674769859273), 'Q3': np.float64(87.83444974524821), 'IQR': np.float64(51.423152592602825)}","{'Q1': np.float64(90.77404098254954), 'Q2': np.float64(90.77404098254954), 'Q3': np.float64(204.98457643852134), 'IQR': np.float64(114.21053545597181)}","{'Q1': np.float64(44.9959325335565), 'Q2': np.float64(46.17819686187295), 'Q3': np.float64(69.62832047953341), 'IQR': np.float64(24.632387945976916)}","{'Q1': np.float64(107.26252616530093), 'Q2': np.float64(107.26252616530093), 'Q3': np.float64(107.26252616530093), 'IQR': np.float64(0.0)}"
"{'Q1': np.float64(5.506395300972798), 'Q2': np.float64(32.97026825990689), 'Q3': np.float64(72.22537863529482), 'IQR': np.float64(66.71898333432202)}","{'Q1': np.float64(54.15609649004057), 'Q2': np.float64(117.18911993536116), 'Q3': np.float64(149.3672992726452), 'IQR': np.float64(95.21120278260463)}","{'Q1': np.float64(109.86513820980316), 'Q2': np.float64(212.94420840265792), 'Q3': np.float64(304.6606411797637), 'IQR': np.float64(194.79550296996052)}","{'Q1': np.float64(21.71717136530026), 'Q2': np.float64(235.7174718599009), 'Q3': np.float64(277.9161325325547), 'IQR': np.float64(256.1989611672544)}","{'Q1': np.float64(352.2201722596269), 'Q2': np.float64(455.0215831848004), 'Q3': np.float64(549.2765518543788), 'IQR': np.float64(197.0563795947519)}","{'Q1': np.float64(124.39723360985215), 'Q2': np.float64(338.7169387068193), 'Q3': np.float64(465.07363797639067), 'IQR': np.float64(340.6764043665385)}","{'Q1': np.float64(76.92214453677003), 'Q2': np.float64(115.99425229517516), 'Q3': np.float64(155.06636005358027), 'IQR': np.float64(78.14421551681023)}","{'Q1': np.float64(49.930293940441516), 'Q2': np.float64(59.36031021396264), 'Q3': np.float64(68.79032648748377), 'IQR': np.float64(18.860032547042252)}",,"{'Q1': np.float64(228.4839592036531), 'Q2': np.float64(337.083601863616), 'Q3': np.float64(445.683244523579), 'IQR': np.float64(217.1992853199259)}","{'Q1': np.float64(99.35963172929763), 'Q2': np.float64(224.83776012610667), 'Q3': np.float64(368.5250178527423), 'IQR': np.float64(269.16538612344465)}","{'Q1': np.float64(217.68908574565333), 'Q2': np.float64(217.68908574565333), 'Q3': np.float64(217.68908574565333), 'IQR': np.float64(0.0)}"
