1,2,3,4,5,6,7,8,9,10,11,12,0
"{'Q1': np.float64(30.390568220159537), 'Q2': np.float64(79.47232843029667), 'Q3': np.float64(122.2014721817653), 'IQR': np.float64(91.81090396160576)}","{'Q1': np.float64(193.42832918299325), 'Q2': np.float64(279.7927927423334), 'Q3': np.float64(437.7491423107514), 'IQR': np.float64(244.32081312775813)}","{'Q1': np.float64(27.61523781125618), 'Q2': np.float64(114.8372213719183), 'Q3': np.float64(201.55581543323748), 'IQR': np.float64(173.9405776219813)}","{'Q1': np.float64(89.63573325436178), 'Q2': np.float64(168.47076151937517), 'Q3': np.float64(217.581048238311), 'IQR': np.float64(127.94531498394923)}","{'Q1': np.float64(56.60118338203026), 'Q2': np.float64(79.22437253504776), 'Q3': np.float64(120.9953065025297), 'IQR': np.float64(64.39412312049944)}","{'Q1': np.float64(0.0), 'Q2': np.float64(12.691656873247531), 'Q3': np.float64(46.99861287378623), 'IQR': np.float64(46.99861287378623)}","{'Q1': np.float64(128.9359451935006), 'Q2': np.float64(247.91979152798103), 'Q3': np.float64(396.3151971945042), 'IQR': np.float64(267.3792520010036)}","{'Q1': np.float64(194.600444097396), 'Q2': np.float64(269.84649187280604), 'Q3': np.float64(379.97926262395515), 'IQR': np.float64(185.37881852655914)}","{'Q1': np.float64(251.81011545973706), 'Q2': np.float64(251.81011545973706), 'Q3': np.float64(251.81011545973706), 'IQR': np.float64(0.0)}","{'Q1': np.float64(83.302490683484), 'Q2': np.float64(142.77812250554035), 'Q3': np.float64(229.93786072541312), 'IQR': np.float64(146.63537004192912)}","{'Q1': np.float64(182.38779603739863), 'Q2': np.float64(209.61036691918775), 'Q3': np.float64(243.33556645717718), 'IQR': np.float64(60.94777041977855)}","{'Q1': np.float64(101.71666363130971), 'Q2': np.float64(147.74631704538908), 'Q3': np.float64(197.7397536865966), 'IQR': np.float64(96.02309005528689)}",
"{'Q1': np.float64(24.766439810415704), 'Q2': np.float64(81.73132580999129), 'Q3': np.float64(158.15601371313664), 'IQR': np.float64(133.38957390272094)}","{'Q1': np.float64(256.0229928337802), 'Q2': np.float64(431.9380569711541), 'Q3': np.float64(501.86966150552075), 'IQR': np.float64(245.84666867174053)}","{'Q1': np.float64(81.62854139301868), 'Q2': np.float64(159.1647701128252), 'Q3': np.float64(257.7623463781179), 'IQR': np.float64(176.13380498509923)}","{'Q1': np.float64(88.81311523486221), 'Q2': np.float64(249.10948648189665), 'Q3': np.float64(336.8084024065275), 'IQR': np.float64(247.99528717166527)}","{'Q1': np.float64(244.67088822661452), 'Q2': np.float64(403.275137302972), 'Q3': np.float64(405.8852315326136), 'IQR': np.float64(161.21434330599908)}","{'Q1': np.float64(21.0), 'Q2': np.float64(36.07486693608697), 'Q3': np.float64(40.729209887905654), 'IQR': np.float64(19.729209887905654)}","{'Q1': np.float64(16.081427677285916), 'Q2': np.float64(43.27299972783399), 'Q3': np.float64(76.42727267410908), 'IQR': np.float64(60.34584499682316)}","{'Q1': np.float64(201.63967285904812), 'Q2': np.float64(230.44631852833152), 'Q3': np.float64(233.6557623800161), 'IQR': np.float64(32.016089520967995)}","{'Q1': np.float64(310.7268562529676), 'Q2': np.float64(370.37268718746566), 'Q3': np.float64(430.0185181219638), 'IQR': np.float64(119.29166186899619)}","{'Q1': np.float64(85.79750524852028), 'Q2': np.float64(166.37380379466128), 'Q3': np.float64(246.9501023408023), 'IQR': np.float64(161.152597092282)}","{'Q1': np.float64(201.2778005298223), 'Q2': np.float64(201.2778005298223), 'Q3': np.float64(201.2778005298223), 'IQR': np.float64(0.0)}","{'Q1': np.float64(44.76455696195495), 'Q2': np.float64(94.35628150338079), 'Q3': np.float64(166.89357367629657), 'IQR': np.float64(122.12901671434162)}","{'Q1': np.float64(107.26252616530093), 'Q2': np.float64(107.26252616530093), 'Q3': np.float64(107.26252616530093), 'IQR': np.float64(0.0)}"
"{'Q1': np.float64(36.53318776068875), 'Q2': np.float64(96.67109836635007), 'Q3': np.float64(149.75408453877913), 'IQR': np.float64(113.22089677809038)}","{'Q1': np.float64(97.37856115369874), 'Q2': np.float64(186.52206988790434), 'Q3': np.float64(292.07076250259115), 'IQR': np.float64(194.6922013488924)}","{'Q1': np.float64(51.75237919663422), 'Q2': np.float64(104.44818011926839), 'Q3': np.float64(104.44818011926839), 'IQR': np.float64(52.69580092263416)}","{'Q1': np.float64(57.40985526200686), 'Q2': np.float64(107.15047483331745), 'Q3': np.float64(264.0678267834724), 'IQR': np.float64(206.65797152146556)}","{'Q1': np.float64(246.0090248920361), 'Q2': np.float64(246.0090248920361), 'Q3': np.float64(275.74906767302275), 'IQR': np.float64(29.74004278098664)}","{'Q1': np.float64(63.7541750148563), 'Q2': np.float64(83.71120176710855), 'Q3': np.float64(249.24225892265508), 'IQR': np.float64(185.4880839077988)}","{'Q1': np.float64(116.61227912408344), 'Q2': np.float64(185.41047284722003), 'Q3': np.float64(370.40352355171694), 'IQR': np.float64(253.7912444276335)}","{'Q1': np.float64(144.03985244564126), 'Q2': np.float64(290.1404363852981), 'Q3': np.float64(461.7800449632837), 'IQR': np.float64(317.7401925176424)}","{'Q1': np.float64(95.15408724049018), 'Q2': np.float64(132.8730631578402), 'Q3': np.float64(401.01008504415347), 'IQR': np.float64(305.8559978036633)}","{'Q1': np.float64(109.30240357970553), 'Q2': np.float64(229.1423074757106), 'Q3': np.float64(360.0923037438788), 'IQR': np.float64(250.78990016417328)}","{'Q1': np.float64(373.818840097487), 'Q2': np.float64(495.9564478387109), 'Q3': np.float64(495.9564478387109), 'IQR': np.float64(122.13760774122392)}","{'Q1': np.float64(72.71138340462281), 'Q2': np.float64(119.31887155898124), 'Q3': np.float64(310.00901563975435), 'IQR': np.float64(237.29763223513154)}","{'Q1': np.float64(182.79542599034608), 'Q2': np.float64(185.21393289087774), 'Q3': np.float64(187.63243979140944), 'IQR': np.float64(4.837013801063364)}"
