Q1,Q2,Q3,IQR
162.47580595547714,217.68908574565333,217.68908574565333,55.21327979017619
11.118757436393707,46.281802074214056,78.87542616542675,67.75666872903304
23.90056364711117,75.10673118117086,148.5940202445659,124.69345659745474
27.00002928127102,125.27050391960705,218.28179779215952,191.2817685108885
25.82253786803033,88.49688852912018,277.9161325325547,252.09359466452435
60.515154729529414,166.68080883818612,280.7913917584925,220.27623702896312
32.27869061180621,73.65197669342723,361.4776223232138,329.19893171140757
40.57000354955329,64.02383724948282,128.9389195990268,88.36891604947351
50.04213257650562,71.58149539462582,87.78973928855369,37.74760671204807
87.83444974524821,155.17528637366928,303.63072123533124,215.79627149008303
90.77404098254954,119.88431654369015,260.5512304281238,169.77718944557427
70.34348724439499,282.48322670919754,423.87141688415835,353.52792963976333
