Q1,Q2,Q3,IQR
107.26252616530093,107.26252616530093,107.26252616530093,0.0
56.577101483361446,128.59190593642444,228.953694927247,172.37659344388555
72.25710036738407,183.50251253471825,292.896797254047,220.63969688666293
36.2523255351275,92.12888167717526,154.02197798646446,117.76965245133697
47.2995423388883,121.47902958937323,229.43024722429553,182.13070488540723
104.59117360419923,150.84353980015476,305.0900156107361,200.49884200653685
40.94870807924451,105.05227127348658,142.15154291455383,101.20283483530932
15.991765875120109,39.28691261176613,140.33278496112754,124.34101908600744
53.63494230498577,60.796090559295635,213.759896859371,160.12495455438523
0.0,41.26590449115305,111.15753029197933,111.15753029197933
18.446941824123087,34.41746590430253,248.40058981257218,229.9536479884491
128.48692708792444,273.64495018734635,341.07834763242346,212.59142054449902
116.14797480060182,134.0735970669419,148.67620071598142,32.52822591537961
