1,2,3,4,5,6,7,8,9,10,11,12,0
"{'Q1': np.float64(25.546297320098287), 'Q2': np.float64(112.09768350999303), 'Q3': np.float64(220.62555919385477), 'IQR': np.float64(195.07926187375648)}","{'Q1': np.float64(19.911244657955237), 'Q2': np.float64(43.459668806879634), 'Q3': np.float64(110.22588934242151), 'IQR': np.float64(90.31464468446627)}","{'Q1': np.float64(39.98344787963188), 'Q2': np.float64(97.5049959900594), 'Q3': np.float64(148.90212498437018), 'IQR': np.float64(108.9186771047383)}","{'Q1': np.float64(26.259425866106426), 'Q2': np.float64(43.744771848627934), 'Q3': np.float64(93.06325182623885), 'IQR': np.float64(66.80382596013243)}","{'Q1': np.float64(78.23958950208885), 'Q2': np.float64(125.64414321382691), 'Q3': np.float64(170.2523106082291), 'IQR': np.float64(92.01272110614025)}","{'Q1': np.float64(3.5471212888074035), 'Q2': np.float64(15.20452205912349), 'Q3': np.float64(52.80042608656897), 'IQR': np.float64(49.253304797761565)}","{'Q1': np.float64(27.177207237379136), 'Q2': np.float64(93.97106732013208), 'Q3': np.float64(148.0770275337494), 'IQR': np.float64(120.89982029637027)}","{'Q1': np.float64(58.057210650407455), 'Q2': np.float64(421.24533261268334), 'Q3': np.float64(438.89108673476596), 'IQR': np.float64(380.8338760843585)}","{'Q1': np.float64(64.73479043753782), 'Q2': np.float64(80.33931503448036), 'Q3': np.float64(85.96663426314623), 'IQR': np.float64(21.231843825608408)}","{'Q1': np.float64(316.65571346663074), 'Q2': np.float64(456.7563675465359), 'Q3': np.float64(497.45409774560517), 'IQR': np.float64(180.79838427897442)}","{'Q1': np.float64(146.14298309342757), 'Q2': np.float64(186.43832865980298), 'Q3': np.float64(226.73367422617838), 'IQR': np.float64(80.5906911327508)}","{'Q1': np.float64(186.62512835032896), 'Q2': np.float64(244.46402032031008), 'Q3': np.float64(302.3029122902912), 'IQR': np.float64(115.67778393996224)}",
"{'Q1': np.float64(70.98706829098168), 'Q2': np.float64(169.61760239735025), 'Q3': np.float64(251.46842167875002), 'IQR': np.float64(180.48135338776834)}","{'Q1': np.float64(59.797308707829295), 'Q2': np.float64(98.63206448358861), 'Q3': np.float64(124.122405689159), 'IQR': np.float64(64.3250969813297)}","{'Q1': np.float64(19.53212576643773), 'Q2': np.float64(31.585153436939578), 'Q3': np.float64(55.95696963564933), 'IQR': np.float64(36.4248438692116)}","{'Q1': np.float64(37.400898885929905), 'Q2': np.float64(76.7768414715681), 'Q3': np.float64(112.8464398049794), 'IQR': np.float64(75.44554091904949)}","{'Q1': np.float64(5.49844571532784), 'Q2': np.float64(25.17435138098314), 'Q3': np.float64(62.95399697570779), 'IQR': np.float64(57.45555126037995)}","{'Q1': np.float64(82.15251702352305), 'Q2': np.float64(157.2686405990935), 'Q3': np.float64(225.03480873982977), 'IQR': np.float64(142.88229171630672)}","{'Q1': np.float64(62.636052215478685), 'Q2': np.float64(94.85925860141407), 'Q3': np.float64(123.63754481197627), 'IQR': np.float64(61.001492596497584)}","{'Q1': np.float64(2.912286424188892), 'Q2': np.float64(2.912286424188892), 'Q3': np.float64(21.45614321209445), 'IQR': np.float64(18.543856787905558)}","{'Q1': np.float64(41.657994446732694), 'Q2': np.float64(59.20991008704884), 'Q3': np.float64(77.51268048314215), 'IQR': np.float64(35.854686036409454)}","{'Q1': np.float64(15.250936772818704), 'Q2': np.float64(15.250936772818704), 'Q3': np.float64(67.83443347860471), 'IQR': np.float64(52.583496705786004)}","{'Q1': np.float64(197.1445305483386), 'Q2': np.float64(288.6350490279558), 'Q3': np.float64(380.125567507573), 'IQR': np.float64(182.98103695923442)}","{'Q1': np.float64(175.08091533505126), 'Q2': np.float64(199.0500166337374), 'Q3': np.float64(199.0500166337374), 'IQR': np.float64(23.969101298686155)}","{'Q1': np.float64(98.95756060434763), 'Q2': np.float64(98.95756060434763), 'Q3': np.float64(98.95756060434763), 'IQR': np.float64(0.0)}"
"{'Q1': np.float64(32.971065724323694), 'Q2': np.float64(81.74042142082322), 'Q3': np.float64(135.0597745115897), 'IQR': np.float64(102.088708787266)}","{'Q1': np.float64(167.21699979080483), 'Q2': np.float64(306.4165577380254), 'Q3': np.float64(340.5519115217892), 'IQR': np.float64(173.33491173098435)}","{'Q1': np.float64(35.94123294500097), 'Q2': np.float64(83.08599156169436), 'Q3': np.float64(114.65690402935188), 'IQR': np.float64(78.7156710843509)}","{'Q1': np.float64(58.17800169825254), 'Q2': np.float64(121.04318194768479), 'Q3': np.float64(227.38575330088744), 'IQR': np.float64(169.20775160263491)}","{'Q1': np.float64(162.64682800475987), 'Q2': np.float64(162.64682800475987), 'Q3': np.float64(323.8219478072449), 'IQR': np.float64(161.17511980248503)}","{'Q1': np.float64(60.454718365655665), 'Q2': np.float64(106.64967376010623), 'Q3': np.float64(245.71715092812065), 'IQR': np.float64(185.262432562465)}","{'Q1': np.float64(191.2356068696381), 'Q2': np.float64(377.4712137392762), 'Q3': np.float64(464.8852389867175), 'IQR': np.float64(273.6496321170794)}","{'Q1': np.float64(147.9106824008784), 'Q2': np.float64(279.6091113178636), 'Q3': np.float64(279.6091113178636), 'IQR': np.float64(131.69842891698522)}","{'Q1': np.float64(293.29399727020666), 'Q2': np.float64(293.29399727020666), 'Q3': np.float64(293.29399727020666), 'IQR': np.float64(0.0)}","{'Q1': np.float64(413.4546812113213), 'Q2': np.float64(449.74464910490906), 'Q3': np.float64(486.0346169984968), 'IQR': np.float64(72.57993578717549)}","{'Q1': np.float64(308.3143657926401), 'Q2': np.float64(409.5223743762209), 'Q3': np.float64(466.14138382234404), 'IQR': np.float64(157.82701802970394)}","{'Q1': np.float64(145.11482212507252), 'Q2': np.float64(145.11482212507252), 'Q3': np.float64(145.11482212507252), 'IQR': np.float64(0.0)}",
