1,2,3,4,5,6,7,8,9,10,11,12,0
"{'Q1': np.float64(41.412944642601516), 'Q2': np.float64(112.30953936980137), 'Q3': np.float64(162.35881196367052), 'IQR': np.float64(120.945867321069)}","{'Q1': np.float64(43.32450405926551), 'Q2': np.float64(89.9630975982746), 'Q3': np.float64(158.67607886065122), 'IQR': np.float64(115.35157480138571)}","{'Q1': np.float64(18.25), 'Q2': np.float64(74.44345714492655), 'Q3': np.float64(147.66449652557182), 'IQR': np.float64(129.41449652557182)}","{'Q1': np.float64(14.208350696095593), 'Q2': np.float64(31.061040185940783), 'Q3': np.float64(99.85738464097801), 'IQR': np.float64(85.64903394488242)}","{'Q1': np.float64(54.25312228057037), 'Q2': np.float64(71.20989382179354), 'Q3': np.float64(87.66510297619052), 'IQR': np.float64(33.41198069562015)}","{'Q1': np.float64(13.333380846638683), 'Q2': np.float64(23.419271002151675), 'Q3': np.float64(43.03321800530395), 'IQR': np.float64(29.699837158665268)}","{'Q1': np.float64(47.51804395516288), 'Q2': np.float64(95.03608791032576), 'Q3': np.float64(194.70381426578754), 'IQR': np.float64(147.18577031062466)}","{'Q1': np.float64(5.726202352891164), 'Q2': np.float64(10.0), 'Q3': np.float64(49.01207541648779), 'IQR': np.float64(43.285873063596625)}","{'Q1': np.float64(31.100727988261003), 'Q2': np.float64(45.0), 'Q3': np.float64(70.47005309994103), 'IQR': np.float64(39.36932511168003)}","{'Q1': np.float64(106.09368705026831), 'Q2': np.float64(133.94778459844778), 'Q3': np.float64(167.25695259945638), 'IQR': np.float64(61.16326554918807)}","{'Q1': np.float64(182.38779603739863), 'Q2': np.float64(209.61036691918775), 'Q3': np.float64(217.6372069959041), 'IQR': np.float64(35.24941095850548)}","{'Q1': np.float64(30.95984881396916), 'Q2': np.float64(37.322878008693635), 'Q3': np.float64(94.46161247439153), 'IQR': np.float64(63.50176366042237)}",
"{'Q1': np.float64(13.222944741528721), 'Q2': np.float64(85.4626462981146), 'Q3': np.float64(134.97904301618502), 'IQR': np.float64(121.7560982746563)}","{'Q1': np.float64(256.0229928337802), 'Q2': np.float64(449.41295243064326), 'Q3': np.float64(526.5631777782002), 'IQR': np.float64(270.54018494441993)}","{'Q1': np.float64(23.3105656228542), 'Q2': np.float64(51.53994173790494), 'Q3': np.float64(155.7861865340702), 'IQR': np.float64(132.475620911216)}","{'Q1': np.float64(6.352301729839809), 'Q2': np.float64(31.869380490453523), 'Q3': np.float64(107.47000525554756), 'IQR': np.float64(101.11770352570775)}","{'Q1': np.float64(244.67088822661452), 'Q2': np.float64(403.275137302972), 'Q3': np.float64(405.8852315326136), 'IQR': np.float64(161.21434330599908)}","{'Q1': np.float64(21.867576721474784), 'Q2': np.float64(38.402038411996315), 'Q3': np.float64(47.85112066753693), 'IQR': np.float64(25.98354394606215)}","{'Q1': np.float64(16.081427677285916), 'Q2': np.float64(43.823359258914536), 'Q3': np.float64(61.075138523627174), 'IQR': np.float64(44.99371084634126)}","{'Q1': np.float64(278.03545609438635), 'Q2': np.float64(447.05505864422304), 'Q3': np.float64(467.9746617797276), 'IQR': np.float64(189.93920568534128)}","{'Q1': np.float64(310.7268562529676), 'Q2': np.float64(370.37268718746566), 'Q3': np.float64(430.0185181219638), 'IQR': np.float64(119.29166186899619)}","{'Q1': np.float64(85.79750524852028), 'Q2': np.float64(166.37380379466128), 'Q3': np.float64(246.9501023408023), 'IQR': np.float64(161.152597092282)}","{'Q1': np.float64(201.2778005298223), 'Q2': np.float64(201.2778005298223), 'Q3': np.float64(201.2778005298223), 'IQR': np.float64(0.0)}","{'Q1': np.float64(235.27634109454937), 'Q2': np.float64(315.3694487090504), 'Q3': np.float64(324.7549892077029), 'IQR': np.float64(89.47864811315355)}","{'Q1': np.float64(107.10573680396027), 'Q2': np.float64(107.10573680396027), 'Q3': np.float64(107.10573680396027), 'IQR': np.float64(0.0)}"
"{'Q1': np.float64(31.687966717014405), 'Q2': np.float64(88.70768988228045), 'Q3': np.float64(169.654660634862), 'IQR': np.float64(137.9666939178476)}","{'Q1': np.float64(97.37856115369874), 'Q2': np.float64(177.8041865864077), 'Q3': np.float64(251.65017890849902), 'IQR': np.float64(154.27161775480027)}","{'Q1': np.float64(40.37602564545317), 'Q2': np.float64(97.44101234501736), 'Q3': np.float64(108.88769714182465), 'IQR': np.float64(68.51167149637148)}","{'Q1': np.float64(4.666880249710815), 'Q2': np.float64(55.8946981886525), 'Q3': np.float64(107.19930120682001), 'IQR': np.float64(102.5324209571092)}","{'Q1': np.float64(246.0090248920361), 'Q2': np.float64(246.0090248920361), 'Q3': np.float64(246.0090248920361), 'IQR': np.float64(0.0)}","{'Q1': np.float64(22.98068577749666), 'Q2': np.float64(58.59913028648583), 'Q3': np.float64(194.12767386326837), 'IQR': np.float64(171.1469880857717)}","{'Q1': np.float64(27.08151909792838), 'Q2': np.float64(58.91380894087507), 'Q3': np.float64(84.27338884253636), 'IQR': np.float64(57.191869744607985)}","{'Q1': np.float64(35.77107839448199), 'Q2': np.float64(53.251306042709395), 'Q3': np.float64(227.53544026066325), 'IQR': np.float64(191.76436186618128)}","{'Q1': np.float64(107.72414018156385), 'Q2': np.float64(108.71357563154459), 'Q3': np.float64(132.8730631578402), 'IQR': np.float64(25.14892297627634)}","{'Q1': np.float64(109.30240357970553), 'Q2': np.float64(147.97755677620117), 'Q3': np.float64(197.76280234485995), 'IQR': np.float64(88.46039876515442)}","{'Q1': np.float64(137.49575260766193), 'Q2': np.float64(137.49575260766193), 'Q3': np.float64(194.5884924819625), 'IQR': np.float64(57.09273987430058)}","{'Q1': np.float64(49.40763932744359), 'Q2': np.float64(72.71138340462281), 'Q3': np.float64(96.01512748180203), 'IQR': np.float64(46.607488154358435)}",
