0,1,2,3,4,5,6,7,8,9,10,12,11
"{'Q1': np.float64(0.0), 'Q2': np.float64(0.0), 'Q3': np.float64(0.0), 'IQR': np.float64(0.0)}","{'Q1': np.float64(3.1850620533761553), 'Q2': np.float64(26.889200432308442), 'Q3': np.float64(81.57163936309917), 'IQR': np.float64(78.38657730972301)}","{'Q1': np.float64(5.274765212117131), 'Q2': np.float64(33.4383052513395), 'Q3': np.float64(75.00223961519274), 'IQR': np.float64(69.7274744030756)}","{'Q1': np.float64(20.146009180443087), 'Q2': np.float64(111.31789961509463), 'Q3': np.float64(181.55089290415248), 'IQR': np.float64(161.4048837237094)}","{'Q1': np.float64(14.014814052323302), 'Q2': np.float64(43.224411743290375), 'Q3': np.float64(77.47445512485311), 'IQR': np.float64(63.459641072529806)}","{'Q1': np.float64(125.69574828569415), 'Q2': np.float64(138.31451329254884), 'Q3': np.float64(140.6106803891434), 'IQR': np.float64(14.914932103449246)}","{'Q1': np.float64(17.10415090074751), 'Q2': np.float64(32.12150857358711), 'Q3': np.float64(46.80828313065397), 'IQR': np.float64(29.70413222990646)}","{'Q1': np.float64(9.341584311750523), 'Q2': np.float64(9.341584311750523), 'Q3': np.float64(9.341584311750523), 'IQR': np.float64(0.0)}","{'Q1': np.float64(174.64967032503253), 'Q2': np.float64(238.0928020706362), 'Q3': np.float64(283.15840762763753), 'IQR': np.float64(108.508737302605)}","{'Q1': np.float64(100.45025106216482), 'Q2': np.float64(142.911471616833), 'Q3': np.float64(222.77774336177373), 'IQR': np.float64(122.3274922996089)}","{'Q1': np.float64(76.46094946534238), 'Q2': np.float64(115.52788127632392), 'Q3': np.float64(142.9802307994436), 'IQR': np.float64(66.51928133410122)}","{'Q1': np.float64(85.50930054984201), 'Q2': np.float64(124.28659321386743), 'Q3': np.float64(166.29686056347327), 'IQR': np.float64(80.78756001363126)}",
"{'Q1': np.float64(166.00741932240214), 'Q2': np.float64(166.00741932240214), 'Q3': np.float64(166.00741932240214), 'IQR': np.float64(0.0)}","{'Q1': np.float64(8.128304719161768), 'Q2': np.float64(87.12629356237865), 'Q3': np.float64(225.33449548119842), 'IQR': np.float64(217.20619076203664)}","{'Q1': np.float64(30.931973173451397), 'Q2': np.float64(61.31954817648642), 'Q3': np.float64(81.96340252238745), 'IQR': np.float64(51.03142934893606)}","{'Q1': np.float64(55.1410314002335), 'Q2': np.float64(151.89965623669622), 'Q3': np.float64(189.7077034298846), 'IQR': np.float64(134.5666720296511)}","{'Q1': np.float64(18.860817219540593), 'Q2': np.float64(31.450417057871263), 'Q3': np.float64(123.09182002130619), 'IQR': np.float64(104.2310028017656)}","{'Q1': np.float64(16.61997615480892), 'Q2': np.float64(19.41331743653928), 'Q3': np.float64(22.20665871826964), 'IQR': np.float64(5.58668256346072)}","{'Q1': np.float64(49.72475562156191), 'Q2': np.float64(77.9845338775217), 'Q3': np.float64(115.95601476550598), 'IQR': np.float64(66.23125914394407)}","{'Q1': np.float64(35.19639243182962), 'Q2': np.float64(37.83858002793849), 'Q3': np.float64(45.76272265269169), 'IQR': np.float64(10.56633022086207)}","{'Q1': np.float64(40.55480566464894), 'Q2': np.float64(50.05344789843866), 'Q3': np.float64(61.853397044617694), 'IQR': np.float64(21.298591379968755)}","{'Q1': np.float64(16.243567660685756), 'Q2': np.float64(27.48713532137151), 'Q3': np.float64(43.38419952555387), 'IQR': np.float64(27.140631864868112)}","{'Q1': np.float64(20.81819640024824), 'Q2': np.float64(55.63199019671424), 'Q3': np.float64(92.13081422704295), 'IQR': np.float64(71.3126178267947)}","{'Q1': np.float64(116.53926770830702), 'Q2': np.float64(116.53926770830702), 'Q3': np.float64(116.53926770830702), 'IQR': np.float64(0.0)}","{'Q1': np.float64(71.16009283889657), 'Q2': np.float64(89.29703622972207), 'Q3': np.float64(107.43397962054756), 'IQR': np.float64(36.27388678165099)}"
"{'Q1': np.float64(178.86763213640467), 'Q2': np.float64(293.5034368814022), 'Q3': np.float64(293.5034368814022), 'IQR': np.float64(114.63580474499753)}","{'Q1': np.float64(60.14944042033562), 'Q2': np.float64(170.51227162405402), 'Q3': np.float64(225.35093010531193), 'IQR': np.float64(165.2014896849763)}","{'Q1': np.float64(17.401395753469174), 'Q2': np.float64(54.50418032361682), 'Q3': np.float64(104.15713682133996), 'IQR': np.float64(86.75574106787079)}","{'Q1': np.float64(12.736723868378348), 'Q2': np.float64(23.02972725608302), 'Q3': np.float64(69.38733210105886), 'IQR': np.float64(56.65060823268051)}","{'Q1': np.float64(10.799125620758979), 'Q2': np.float64(41.88270703285924), 'Q3': np.float64(123.6905118690292), 'IQR': np.float64(112.89138624827021)}","{'Q1': np.float64(28.98751663329332), 'Q2': np.float64(32.97503326658665), 'Q3': np.float64(103.57930545854363), 'IQR': np.float64(74.5917888252503)}","{'Q1': np.float64(37.95710950969406), 'Q2': np.float64(78.38610767039737), 'Q3': np.float64(106.96219460575851), 'IQR': np.float64(69.00508509606445)}","{'Q1': np.float64(72.64927654933703), 'Q2': np.float64(111.31448236674157), 'Q3': np.float64(135.07554329339598), 'IQR': np.float64(62.42626674405895)}","{'Q1': np.float64(23.744755045836087), 'Q2': np.float64(58.47494265879524), 'Q3': np.float64(64.42834841138978), 'IQR': np.float64(40.68359336555369)}","{'Q1': np.float64(5.0), 'Q2': np.float64(12.317148307144876), 'Q3': np.float64(18.06051964724075), 'IQR': np.float64(13.06051964724075)}","{'Q1': np.float64(12.566446599930362), 'Q2': np.float64(37.97347050855261), 'Q3': np.float64(56.75099705952306), 'IQR': np.float64(44.1845504595927)}","{'Q1': np.float64(88.68592345822245), 'Q2': np.float64(117.74255078661456), 'Q3': np.float64(144.3246129980548), 'IQR': np.float64(55.63868953983234)}","{'Q1': np.float64(105.60406797863791), 'Q2': np.float64(131.88067073520216), 'Q3': np.float64(160.02953958962675), 'IQR': np.float64(54.425471610988836)}"
