1,3,4,5,6,7,8,9,10,11,12,0
"{'Q1': np.float64(112.09768350999303), 'Q2': np.float64(240.04248202500747), 'Q3': np.float64(330.15386526206635), 'IQR': np.float64(218.05618175207331)}","{'Q1': np.float64(54.20057463458346), 'Q2': np.float64(70.40338714251754), 'Q3': np.float64(196.88690956427405), 'IQR': np.float64(142.6863349296906)}","{'Q1': np.float64(16.229060386188557), 'Q2': np.float64(63.00329127107443), 'Q3': np.float64(74.48596922890273), 'IQR': np.float64(58.256908842714175)}","{'Q1': np.float64(23.06227733966267), 'Q2': np.float64(40.18866775670983), 'Q3': np.float64(66.0348581313946), 'IQR': np.float64(42.97258079173193)}","{'Q1': np.float64(88.76733658473744), 'Q2': np.float64(115.68389127645221), 'Q3': np.float64(143.2420046226708), 'IQR': np.float64(54.47466803793337)}","{'Q1': np.float64(15.430836545848216), 'Q2': np.float64(44.984046163577375), 'Q3': np.float64(84.93149143368815), 'IQR': np.float64(69.50065488783994)}","{'Q1': np.float64(53.19479871247698), 'Q2': np.float64(73.9230605316288), 'Q3': np.float64(197.60675514609738), 'IQR': np.float64(144.4119564336204)}","{'Q1': np.float64(39.911817247278094), 'Q2': np.float64(88.71781047583846), 'Q3': np.float64(103.27972392774109), 'IQR': np.float64(63.367906680462994)}","{'Q1': np.float64(48.784003944841515), 'Q2': np.float64(181.66356643140264), 'Q3': np.float64(290.8488891124266), 'IQR': np.float64(242.0648851675851)}","{'Q1': np.float64(47.1044267103631), 'Q2': np.float64(120.1137457750608), 'Q3': np.float64(208.5434778832095), 'IQR': np.float64(161.4390511728464)}","{'Q1': np.float64(99.67035321314461), 'Q2': np.float64(151.18439885781817), 'Q3': np.float64(196.17251437376956), 'IQR': np.float64(96.50216116062495)}",
"{'Q1': np.float64(99.16763042692578), 'Q2': np.float64(211.02437672898537), 'Q3': np.float64(371.89492518916273), 'IQR': np.float64(272.72729476223697)}","{'Q1': np.float64(153.00378359840633), 'Q2': np.float64(221.68024300448303), 'Q3': np.float64(257.47759004400143), 'IQR': np.float64(104.4738064455951)}","{'Q1': np.float64(50.556166745241775), 'Q2': np.float64(92.71838574219588), 'Q3': np.float64(302.26898085889377), 'IQR': np.float64(251.712814113652)}","{'Q1': np.float64(84.835139769373), 'Q2': np.float64(112.02381955766828), 'Q3': np.float64(183.86234214682023), 'IQR': np.float64(99.02720237744722)}","{'Q1': np.float64(96.35272788643036), 'Q2': np.float64(157.68283367487902), 'Q3': np.float64(197.6455977322011), 'IQR': np.float64(101.29286984577075)}","{'Q1': np.float64(9.74167302676453), 'Q2': np.float64(16.885610543986758), 'Q3': np.float64(24.029548061208985), 'IQR': np.float64(14.287875034444454)}","{'Q1': np.float64(67.17116139766254), 'Q2': np.float64(69.06806130905144), 'Q3': np.float64(133.8337760561544), 'IQR': np.float64(66.66261465849185)}","{'Q1': np.float64(38.06305711182904), 'Q2': np.float64(49.403572592295006), 'Q3': np.float64(81.8929046662779), 'IQR': np.float64(43.82984755444886)}","{'Q1': np.float64(85.41512050450058), 'Q2': np.float64(140.76899647473647), 'Q3': np.float64(202.47907192969586), 'IQR': np.float64(117.06395142519528)}","{'Q1': np.float64(94.88367758272028), 'Q2': np.float64(240.39523049860918), 'Q3': np.float64(281.57694132180904), 'IQR': np.float64(186.69326373908876)}","{'Q1': np.float64(30.49929180858493), 'Q2': np.float64(70.05171952680973), 'Q3': np.float64(113.76511251161492), 'IQR': np.float64(83.26582070302999)}","{'Q1': np.float64(107.26252616530093), 'Q2': np.float64(107.26252616530093), 'Q3': np.float64(107.26252616530093), 'IQR': np.float64(0.0)}"
"{'Q1': np.float64(121.88630568736), 'Q2': np.float64(244.44318760597622), 'Q3': np.float64(345.3517151015752), 'IQR': np.float64(223.46540941421523)}","{'Q1': np.float64(179.9318212449612), 'Q2': np.float64(179.9318212449612), 'Q3': np.float64(179.9318212449612), 'IQR': np.float64(0.0)}","{'Q1': np.float64(28.42767449768553), 'Q2': np.float64(77.12176371755308), 'Q3': np.float64(123.1385682201558), 'IQR': np.float64(94.71089372247027)}","{'Q1': np.float64(118.50546942733789), 'Q2': np.float64(187.61712069863), 'Q3': np.float64(314.6977029464075), 'IQR': np.float64(196.19223351906962)}","{'Q1': np.float64(44.54041501173589), 'Q2': np.float64(76.62748552055339), 'Q3': np.float64(145.77801387635878), 'IQR': np.float64(101.2375988646229)}","{'Q1': np.float64(57.14219340986068), 'Q2': np.float64(81.51937106354987), 'Q3': np.float64(91.55620479212901), 'IQR': np.float64(34.41401138226833)}","{'Q1': np.float64(139.09570382492217), 'Q2': np.float64(139.09570382492217), 'Q3': np.float64(142.10526297499734), 'IQR': np.float64(3.0095591500751766)}","{'Q1': np.float64(114.29816368167417), 'Q2': np.float64(167.57547773555592), 'Q3': np.float64(251.70688990622116), 'IQR': np.float64(137.408726224547)}","{'Q1': np.float64(39.54409808460984), 'Q2': np.float64(76.83061700176131), 'Q3': np.float64(136.57896723212775), 'IQR': np.float64(97.03486914751791)}","{'Q1': np.float64(122.39433293436059), 'Q2': np.float64(163.4020476936094), 'Q3': np.float64(218.7560032349635), 'IQR': np.float64(96.3616703006029)}","{'Q1': np.float64(42.51107261673774), 'Q2': np.float64(71.79931223616356), 'Q3': np.float64(117.23220108715964), 'IQR': np.float64(74.72112847042189)}",
