Q1,Q2,Q3,IQR
107.10573680396027,107.10573680396027,107.10573680396027,0.0
27.999111114723434,94.4904956974137,152.2576789257956,124.25856781107217
86.83114044172102,204.50075678972092,416.2828961601225,329.4517557184015
23.3105656228542,79.0417152641742,147.66449652557182,124.35393090271762
6.47800648552284,36.1738455056352,110.91175274001496,104.43374625449212
102.98001202121134,246.0090248920361,257.85178942673554,154.8717774055242
13.71891682667064,36.58995107102349,61.350259268802134,47.6313424421315
16.384546680385505,50.13386229078762,94.25292450033233,77.86837781994683
15.667250988599406,102.65794179388075,323.86287213657215,308.19562114797276
71.69045278350464,108.21885790655422,164.26964544510196,92.57919266159732
78.23958950208885,133.94778459844778,200.566120600465,122.32653109837617
150.7478570186226,201.2778005298223,213.62378695754592,62.87592993892332
57.82187639626554,147.77417649244802,295.3461718054251,237.52429540915958
