Q1,Q2,Q3,IQR
64.23182739140714,166.00741932240214,293.5034368814022,229.27160948999506
7.206062401265882,73.64802339390491,186.49175174705152,179.28568934578564
13.6964571909553,43.671960531559094,96.46817793468796,82.77172074373266
18.144977653766347,76.51510573655611,160.15090769016814,142.0059300364018
14.014814052323302,37.80250391987309,119.81011931961422,105.79530526729091
26.993758316646662,120.82579203531347,140.03663861499476,113.0428802983481
28.323409940783712,66.94830980309952,106.96219460575851,78.63878466497479
32.0340881267265,37.83858002793849,114.6941728042608,82.6600846775343
25.240352862244208,58.47494265879524,114.36494108400844,89.12458822176423
10.487861230358657,30.914795030800974,142.911471616833,132.42361038647437
18.969129500162968,54.96887761110679,95.17444124548112,76.20531174531816
79.32746522207367,125.57092301137305,131.88067073520216,52.55320551312849
85.50930054984201,117.74255078661456,166.29686056347327,80.78756001363126
