Q1,Q2,Q3,IQR
107.26252616530093,574.950674307868,584.1585611646366,476.89603499933565
42.11641632142688,120.82819634169806,192.4620023274357,150.34558600600883
105.61294644176695,234.96468658995076,456.2418983937156,350.62895195194864
40.119022812395116,130.14992996012182,234.49731703740724,194.37829422501213
64.74944580840622,107.39552409294174,272.2885676863718,207.53912187796556
54.58132530866476,147.8449351094746,337.8667949619168,283.28546965325205
51.12976402785171,158.2581114635289,276.62044213340613,225.49067810555442
24.64030557868263,71.05970545475418,101.23249414407564,76.59218856539302
124.73307264412165,225.33398581430964,452.8952977642316,328.16222512010995
161.5977680873208,222.94328672080866,317.07014233584334,155.47237424852256
58.31213048275862,200.9350571050789,323.3185646796408,265.0064341968822
338.63724411486317,359.3901038957539,399.8955718657585,61.25832775089532
83.38379373983241,266.37917349033006,454.2894241515604,370.905630411728
