Q1,Q2,Q3,IQR
107.26252616530093,107.26252616530093,107.26252616530093,0.0
89.16481619057075,181.92902246586925,299.69911065435065,210.5342944637799
119.57342964639892,170.81530919913604,222.93739944012606,103.36396979372714
67.78852831415756,164.63587487923243,294.0603607614032,226.27183244724566
46.48813547471446,100.2551276793921,182.38779603739863,135.89966056268418
51.0638966772155,180.76934836874906,365.9525579118884,314.8886612346729
19.73239698497929,73.1147422670242,165.12600683732163,145.39360985234234
42.39268036433556,106.50938217827549,147.53362851081914,105.14094814648358
95.18175995858843,175.17305768645778,342.16311644690063,246.9813564883122
67.06433316817325,140.45528611181066,325.45993908681316,258.39560591863994
115.98433715017052,234.91208965602254,317.55300497414834,201.56866782397782
24.337281963544594,66.93438471227401,146.17230122253707,121.83501925899247
