1,2,3,4,5,6,7,8,9,10,11,12,0
"{'Q1': np.float64(45.32800960587424), 'Q2': np.float64(117.69422926528577), 'Q3': np.float64(216.53576665320702), 'IQR': np.float64(171.2077570473328)}","{'Q1': np.float64(18.00012665080158), 'Q2': np.float64(84.05202089402641), 'Q3': np.float64(193.280753770197), 'IQR': np.float64(175.28062711939543)}","{'Q1': np.float64(81.01810258336022), 'Q2': np.float64(109.25149592509968), 'Q3': np.float64(154.61028033546665), 'IQR': np.float64(73.59217775210644)}","{'Q1': np.float64(167.79816052461825), 'Q2': np.float64(229.43024722429553), 'Q3': np.float64(299.3102218024903), 'IQR': np.float64(131.51206127787202)}","{'Q1': np.float64(52.40455371173806), 'Q2': np.float64(97.01272110614025), 'Q3': np.float64(127.32653109837617), 'IQR': np.float64(74.9219773866381)}","{'Q1': np.float64(68.73790209465949), 'Q2': np.float64(104.89817822867195), 'Q3': np.float64(126.71311090778491), 'IQR': np.float64(57.97520881312542)}","{'Q1': np.float64(26.549168033784), 'Q2': np.float64(42.2101136028584), 'Q3': np.float64(117.6856692476336), 'IQR': np.float64(91.1365012138496)}","{'Q1': np.float64(33.50612260279479), 'Q2': np.float64(58.057210650407455), 'Q3': np.float64(59.426650604851545), 'IQR': np.float64(25.920528002056756)}","{'Q1': np.float64(0.0), 'Q2': np.float64(32.466536893325156), 'Q3': np.float64(82.03286607806535), 'IQR': np.float64(82.03286607806535)}","{'Q1': np.float64(30.42483488425767), 'Q2': np.float64(34.41746590430253), 'Q3': np.float64(129.82775876509356), 'IQR': np.float64(99.40292388083589)}","{'Q1': np.float64(116.52473609018395), 'Q2': np.float64(127.20183465331576), 'Q3': np.float64(137.87893321644756), 'IQR': np.float64(21.354197126263614)}","{'Q1': np.float64(83.41817915254974), 'Q2': np.float64(159.36033648870816), 'Q3': np.float64(280.6721437651643), 'IQR': np.float64(197.2539646126146)}",
"{'Q1': np.float64(91.95953746204012), 'Q2': np.float64(203.99410881276134), 'Q3': np.float64(307.24408228564516), 'IQR': np.float64(215.28454482360505)}","{'Q1': np.float64(102.08906078624172), 'Q2': np.float64(149.97995119095577), 'Q3': np.float64(213.45666104273909), 'IQR': np.float64(111.36760025649737)}","{'Q1': np.float64(45.02354117086642), 'Q2': np.float64(61.285818260727865), 'Q3': np.float64(146.21427831091933), 'IQR': np.float64(101.1907371400529)}","{'Q1': np.float64(33.654349973869245), 'Q2': np.float64(41.02684601432742), 'Q3': np.float64(63.13370152008927), 'IQR': np.float64(29.479351546220023)}","{'Q1': np.float64(81.3713186159865), 'Q2': np.float64(112.99046239935382), 'Q3': np.float64(135.15095016272923), 'IQR': np.float64(53.779631546742735)}","{'Q1': np.float64(30.09024074273077), 'Q2': np.float64(38.53714942701522), 'Q3': np.float64(67.19814366565865), 'IQR': np.float64(37.10790292292788)}","{'Q1': np.float64(12.55530167559482), 'Q2': np.float64(39.28691261176613), 'Q3': np.float64(67.64334359344711), 'IQR': np.float64(55.088041917852294)}","{'Q1': np.float64(53.63494230498577), 'Q2': np.float64(53.63494230498577), 'Q3': np.float64(61.72918730544326), 'IQR': np.float64(8.09424500045749)}","{'Q1': np.float64(7.338411843898147), 'Q2': np.float64(49.169200931654245), 'Q3': np.float64(259.32662685128787), 'IQR': np.float64(251.98821500738973)}","{'Q1': np.float64(15.250936772818704), 'Q2': np.float64(15.250936772818704), 'Q3': np.float64(131.82576329269546), 'IQR': np.float64(116.57482651987675)}","{'Q1': np.float64(183.50069317829417), 'Q2': np.float64(273.64495018734635), 'Q3': np.float64(288.00727236312684), 'IQR': np.float64(104.50657918483267)}","{'Q1': np.float64(116.14797480060182), 'Q2': np.float64(134.0735970669419), 'Q3': np.float64(134.0735970669419), 'IQR': np.float64(17.92562226634007)}","{'Q1': np.float64(107.26252616530093), 'Q2': np.float64(107.26252616530093), 'Q3': np.float64(107.26252616530093), 'IQR': np.float64(0.0)}"
"{'Q1': np.float64(56.63066388804422), 'Q2': np.float64(115.59688563961085), 'Q3': np.float64(154.0360692922648), 'IQR': np.float64(97.4054054042206)}","{'Q1': np.float64(193.41986332341108), 'Q2': np.float64(317.29068659795865), 'Q3': np.float64(402.90388436924775), 'IQR': np.float64(209.48402104583667)}","{'Q1': np.float64(15.125071113626312), 'Q2': np.float64(52.12576332140239), 'Q3': np.float64(139.38519181077925), 'IQR': np.float64(124.26012069715293)}","{'Q1': np.float64(48.22173944977169), 'Q2': np.float64(86.51160375536364), 'Q3': np.float64(154.49931613476053), 'IQR': np.float64(106.27757668498884)}","{'Q1': np.float64(305.0900156107361), 'Q2': np.float64(305.0900156107361), 'Q3': np.float64(466.2651354132212), 'IQR': np.float64(161.17511980248509)}","{'Q1': np.float64(95.42868421363428), 'Q2': np.float64(171.34279957842233), 'Q3': np.float64(283.20286179241197), 'IQR': np.float64(187.77417757877768)}","{'Q1': np.float64(189.82226820293866), 'Q2': np.float64(377.4712137392762), 'Q3': np.float64(464.8852389867175), 'IQR': np.float64(275.06297078377884)}","{'Q1': np.float64(147.9106824008784), 'Q2': np.float64(279.6091113178636), 'Q3': np.float64(279.6091113178636), 'IQR': np.float64(131.69842891698522)}","{'Q1': np.float64(308.0358578659117), 'Q2': np.float64(308.0358578659117), 'Q3': np.float64(308.0358578659117), 'IQR': np.float64(0.0)}","{'Q1': np.float64(131.7911783294334), 'Q2': np.float64(213.5823566588668), 'Q3': np.float64(295.3735349883002), 'IQR': np.float64(163.58235665886681)}","{'Q1': np.float64(322.7165227753574), 'Q2': np.float64(423.9245313589382), 'Q3': np.float64(480.54354080506135), 'IQR': np.float64(157.82701802970394)}","{'Q1': np.float64(145.11482212507252), 'Q2': np.float64(145.11482212507252), 'Q3': np.float64(145.11482212507252), 'IQR': np.float64(0.0)}",
